rule,axes,values,clauses,n_dev,n_2022,n_2023,n_2024,hit_dev,hit_2022,hit_2023,hit_2024,worst_dev_hit,wilson_dev,median_signed_60_dev,aux_ge54_dev,max_dev_share,pval_one_sided,qval_bh,fdr_sig,dev_gate
pre_trend_state==STRONG_DOWN AND pre_vol_state==EXPAND AND low_journey==CLEAN_APPROACH,pre_trend_state|pre_vol_state|low_journey,STRONG_DOWN|EXPAND|CLEAN_APPROACH,3,263,80,78,105,0.6121673003802282,0.5875,0.6410256410256411,0.6095238095238096,0.5875,0.5520675609862978,0.0011551155115514522,4,0.39923954372623577,0.00016531721544025705,0.0014363148659132922,True,True
pre_path_state==CONT_DOWN AND reclaim_strength==HIGH AND reclaim_body==LOW,pre_path_state|reclaim_strength|reclaim_body,CONT_DOWN|HIGH|LOW,3,293,97,82,114,0.6109215017064846,0.6082474226804123,0.5853658536585366,0.631578947368421,0.5853658536585366,0.5540052761551176,0.0013653468313963302,4,0.3890784982935154,8.737749567591492e-05,0.0008839490487214133,True,True
low_journey==CLEAN_APPROACH AND reclaim_strength==HIGH AND reclaim_body==LOW,low_journey|reclaim_strength|reclaim_body,CLEAN_APPROACH|HIGH|LOW,3,690,214,203,273,0.5898550724637681,0.5841121495327103,0.5763546798029556,0.6043956043956044,0.5763546798029556,0.5527560440716918,0.0006524451516292107,3,0.39565217391304347,1.33628343251714e-06,4.74769579508714e-05,True,True
pre_path_state==CONT_DOWN AND approach_momentum==DOWN AND reclaim_body==LOW,pre_path_state|approach_momentum|reclaim_body,CONT_DOWN|DOWN|LOW,3,783,278,229,276,0.5849297573435505,0.5755395683453237,0.5764192139737991,0.6014492753623188,0.5755395683453237,0.5500841997920074,0.0007509637367955069,4,0.3550446998722861,1.1332846044681296e-06,4.401452154847872e-05,True,True
pre_trend_state==STRONG_DOWN AND pre_efficiency_state==MID AND reclaim_strength==MID,pre_trend_state|pre_efficiency_state|reclaim_strength,STRONG_DOWN|MID|MID,3,271,105,75,91,0.6125461254612546,0.5714285714285714,0.6133333333333333,0.6593406593406593,0.5714285714285714,0.5533563798053104,0.0007939173715230119,3,0.3874538745387454,0.000126720711568007,0.001215366824584067,True,True
pre_range_state==LOW AND approach_momentum==DOWN AND reclaim_strength==MID,pre_range_state|approach_momentum|reclaim_strength,LOW|DOWN|MID,3,576,200,183,193,0.5989583333333334,0.57,0.6065573770491803,0.6217616580310881,0.57,0.5584052814552926,0.0007056455687828311,4,0.3472222222222222,1.162197928497407e-06,4.401452154847872e-05,True,True
pre_range_state==LOW AND low_journey==CLEAN_APPROACH AND reclaim_range==NORMAL,pre_range_state|low_journey|reclaim_range,LOW|CLEAN_APPROACH|NORMAL,3,655,251,205,199,0.5938931297709924,0.5657370517928287,0.5902439024390244,0.6331658291457286,0.5657370517928287,0.5558416191578736,0.0007780507780510426,3,0.383206106870229,8.752669182728912e-07,3.693626395111601e-05,True,True
pre_vol_state==NORMAL AND pre_range_state==LOW AND reclaim_strength==MID,pre_vol_state|pre_range_state|reclaim_strength,NORMAL|LOW|MID,3,382,142,117,123,0.6020942408376964,0.5633802816901409,0.5982905982905983,0.6504065040650406,0.5633802816901409,0.5522282950518529,0.0007161466875537092,4,0.3717277486910995,3.869706946398364e-05,0.0004735741577722986,True,True
pre_path_state==CONT_DOWN AND pre_range_state==LOW AND low_journey==CLEAN_APPROACH,pre_path_state|pre_range_state|low_journey,CONT_DOWN|LOW|CLEAN_APPROACH,3,659,226,211,222,0.5948406676783005,0.5619469026548672,0.5924170616113744,0.6306306306306306,0.5619469026548672,0.5569141075507696,0.0008788972152833363,4,0.34294385432473445,6.357009951806267e-07,2.9341574058805804e-05,True,True
pre_path_state==PULLBACK_FROM_DOWN AND reclaim_range==NORMAL,pre_path_state|reclaim_range,PULLBACK_FROM_DOWN|NORMAL,2,262,93,84,85,0.6106870229007634,0.6021505376344086,0.5595238095238095,0.6705882352941176,0.5595238095238095,0.5504525437754925,0.0010057212313953068,3,0.3549618320610687,0.00020430176141793548,0.0016952455146870265,True,True
pre_path_state==CONT_DOWN AND approach_momentum==DOWN AND low_journey==CLEAN_APPROACH,pre_path_state|approach_momentum|low_journey,CONT_DOWN|DOWN|CLEAN_APPROACH,3,950,324,297,329,0.5915789473684211,0.558641975308642,0.5925925925925926,0.6231003039513677,0.558641975308642,0.5600139934171172,0.0008334788585189212,4,0.3463157894736842,9.112226168261935e-09,1.4969638843832035e-06,True,True
pre_trend_state==STRONG_DOWN AND pre_efficiency_state==MID AND low_journey==CLEAN_APPROACH,pre_trend_state|pre_efficiency_state|low_journey,STRONG_DOWN|MID|CLEAN_APPROACH,3,496,191,154,151,0.5987903225806451,0.5549738219895288,0.6168831168831169,0.6357615894039735,0.5549738219895288,0.5550553972569783,0.0007567205477887473,4,0.3850806451612903,6.247604326851646e-06,0.00013182445129656973,True,True
pre_path_state==CONT_DOWN AND pre_structure_state==LH_LL AND low_journey==CLEAN_APPROACH,pre_path_state|pre_structure_state|low_journey,CONT_DOWN|LH_LL|CLEAN_APPROACH,3,504,188,150,166,0.6031746031746031,0.5531914893617021,0.6266666666666667,0.6385542168674698,0.5531914893617021,0.5598364453554538,0.0012331356522318204,4,0.373015873015873,2.0779581007792884e-06,6.138288229702018e-05,True,True
pre_range_state==LOW AND reclaim_strength==MID,pre_range_state|reclaim_strength,LOW|MID,2,669,239,211,219,0.5964125560538116,0.5523012552301255,0.6113744075829384,0.6301369863013698,0.5523012552301255,0.5587870522610181,0.0007330645430008165,4,0.3572496263079223,3.462748225298047e-07,1.8942515291723024e-05,True,True
low_journey==CLEAN_APPROACH AND reclaim_body==LOW AND reclaim_range==NORMAL,low_journey|reclaim_body|reclaim_range,CLEAN_APPROACH|LOW|NORMAL,3,922,340,274,308,0.5835140997830802,0.55,0.5802919708029197,0.6233766233766234,0.55,0.5514111723079297,0.0007003234918835366,3,0.368763557483731,2.208979143466579e-07,1.3764004095293062e-05,True,True
