snapshot_age_min,feature,direction,dev_block,n,case_median,control_median,median_gap,effect,adequate,direction_ok
60,running_mae_R,higher,0,3,0.46666666666666806,0.3254437869822473,0.14122287968442077,1.340259276849622,False,False
60,running_mae_R,higher,1,4,0.37467031852302335,0.370967741935484,0.0037025765875393635,0.025047772029459306,False,False
60,running_mae_R,higher,2,7,0.5891089108910933,0.2763157894736794,0.3127931214174139,1.3295796617080617,True,True
60,running_mae_R,higher,3,7,0.664723032069965,0.2754716981132036,0.38925133395676137,2.339136962880083,True,True
60,running_mae_R,higher,4,7,0.7387238723872337,0.42616710078140846,0.31255677160582523,0.9857186790204919,True,True
60,running_mae_R,higher,5,5,0.5132954337062177,0.46484935437589403,0.04844607933032363,0.5607963359933625,True,True
60,close_H_R,lower,0,3,-0.44074074074073943,-0.2159763313609482,-0.22476440937979122,4.425229703138545,False,False
60,close_H_R,lower,1,4,-0.1235086168802449,-0.33079991746337734,0.20729130058313244,1.4983190535089934,False,False
60,close_H_R,lower,2,7,-0.433333333333329,-0.19078947368421018,-0.24254385964911884,0.8047709324558521,True,True
60,close_H_R,lower,3,7,-0.3651315789473607,0.028225806451612597,-0.3933573853989733,2.6564076447177545,True,True
60,close_H_R,lower,4,7,-0.4645214521452131,-0.07072691552062849,-0.39379453662458463,1.3557052098036182,True,True
60,close_H_R,lower,5,5,-0.47466666666666696,-0.298421807747487,-0.17624485891917996,2.138753883347741,True,True
60,drawdown_from_best_R,higher,0,3,0.44074074074073943,0.19822485207100668,0.24251588866973275,3.3434696827526302,False,False
60,drawdown_from_best_R,higher,1,4,0.29584622182943043,0.387096774193551,-0.09125055236412055,1.0775097202943724,False,False
60,drawdown_from_best_R,higher,2,7,0.4133333333333283,0.3648351648351656,0.048498168498162686,0.2675749310421346,True,True
60,drawdown_from_best_R,higher,3,7,0.44314868804665025,0.13043478260869737,0.31271390543795285,2.0767562799724573,True,True
60,drawdown_from_best_R,higher,4,7,0.4375,0.17846258042668972,0.2590374195733103,1.3155968433068657,True,True
60,drawdown_from_best_R,higher,5,5,0.4493333333333339,0.25107604017216645,0.19825729316116747,2.8539214900124286,True,True
120,running_mae_R,higher,0,3,0.5873605947955389,0.5384615384615372,0.04889905633400171,1.2774943459848185,False,False
120,running_mae_R,higher,1,4,0.7131472387352472,0.3875040729879443,0.3256431657473029,2.5736024318424224,False,False
120,running_mae_R,higher,2,6,0.6503563373928717,0.5322754000385577,0.11808093735431402,0.39146832449567165,True,True
120,running_mae_R,higher,3,6,0.7536273368871538,0.3229183400267724,0.4307089968603814,5.414286299747548,True,True
120,running_mae_R,higher,4,6,0.7099480818419261,0.38989926437196604,0.3200488174699601,1.2057578805131155,True,True
120,running_mae_R,higher,5,4,0.6111731657302915,0.5701791575300353,0.040994008200256116,0.3620711069257472,False,False
120,close_H_R,lower,0,3,-0.2777777777777775,-0.32248520710059314,0.04470742932281563,0.776502094630348,False,False
120,close_H_R,lower,1,4,-0.5306383353905828,-0.30645161290322737,-0.22418672248735544,1.9394698651269389,False,False
120,close_H_R,lower,2,6,-0.3031174787468136,-0.36244216310005845,0.05932468435324484,0.3204568257547782,True,False
120,close_H_R,lower,3,6,-0.39440509781495003,-0.1945149196885855,-0.19989017812636453,1.0515479507948287,True,True
120,close_H_R,lower,4,6,-0.4934579681068725,-0.24048887871250618,-0.2529690893943663,1.9627941817419494,True,True
120,close_H_R,lower,5,4,-0.4055783161144737,-0.12338593974174826,-0.28219237637272543,1.5103217469959804,False,False
120,drawdown_from_best_R,higher,0,3,0.34126984126984156,0.3047337278106516,0.036536113459189945,0.8549476284219729,False,False
120,drawdown_from_best_R,higher,1,4,0.7063116118294734,0.321847507331377,0.3844641044980964,2.7946112373323904,False,False
120,drawdown_from_best_R,higher,2,6,0.361218998233638,0.5246055188992899,-0.16338652066565185,0.8503652622302766,True,False
120,drawdown_from_best_R,higher,3,6,0.406771736329351,0.33736350430775425,0.06940823202159674,0.49331164948994055,True,True
120,drawdown_from_best_R,higher,4,6,0.491040303312554,0.35776753953585366,0.13327276377670033,0.6699075767089295,True,True
120,drawdown_from_best_R,higher,5,4,0.38360875408880213,0.08958835176587057,0.2940204023229316,1.7318212013285994,False,False
