partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_invalidation_close_ts,case_exit_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_break_ts,control_invalidation_close_ts,control_exit_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,case__close_H_R,control__close_H_R,case__drawdown_from_best_R,control__drawdown_from_best_R
development,120,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:45:00+00:00,2022-07-10 00:50:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 20:25:00+00:00,-15.717598557072886,2022-07-26 23:55:00+00:00,2022-07-26 15:00:00+00:00,1.0,,,2022-07-27 02:55:00+00:00,2022-07-27 00:00:00+00:00,2022-07-27 01:50:00+00:00,-3.9977943203750588,0.5887850467289742,0.370967741935484,-0.5046728971962607,-0.30645161290322737,0.672897196261681,0.370967741935484
development,120,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:15:00+00:00,2022-07-11 00:20:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 22:20:00+00:00,-16.353887399463808,2022-07-26 23:55:00+00:00,2022-07-26 15:00:00+00:00,1.0,,,2022-07-27 02:55:00+00:00,2022-07-27 00:00:00+00:00,2022-07-27 01:50:00+00:00,-3.9977943203750588,0.6226415094339619,0.370967741935484,-0.5566037735849048,-0.30645161290322737,0.660377358490565,0.370967741935484
development,120,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 17:55:00+00:00,2022-09-20 18:00:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 17:45:00+00:00,-14.77832512315269,2022-10-04 20:45:00+00:00,2022-10-04 15:00:00+00:00,1.0,,,2022-10-05 02:55:00+00:00,2022-10-04 20:50:00+00:00,2022-10-04 22:40:00+00:00,-3.4914169333720713,0.9139784946236574,0.4040404040404047,-0.8387096774193556,-0.3131313131313099,0.9139784946236574,0.2727272727272701
development,120,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:20:00+00:00,2022-11-27 23:25:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 17:10:00+00:00,-8.668105548979954,2022-11-30 00:45:00+00:00,2022-11-29 15:00:00+00:00,1.0,,,2022-11-30 02:55:00+00:00,2022-11-30 00:50:00+00:00,2022-11-30 02:40:00+00:00,-1.3709502850133837,0.8036529680365325,0.4157782515991482,-0.4703196347031965,0.08742004264392414,0.7397260273972659,0.019189765458422926
development,120,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:30:00+00:00,2023-01-07 22:35:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 17:50:00+00:00,-6.367746797287078,2023-01-15 15:50:00+00:00,2023-01-15 15:00:00+00:00,2.0,,,2023-01-16 02:55:00+00:00,2023-01-15 15:55:00+00:00,2023-01-15 17:45:00+00:00,-5.793450881612094,0.7066666666666641,0.43516483516483595,-0.293333333333324,-0.2972527472527474,0.2733333333333233,0.30659340659340645
development,120,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:20:00+00:00,2023-02-21 21:25:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 19:55:00+00:00,-14.591668627912446,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 21:45:00+00:00,-3.0315750198218194,0.5940460081190793,0.6293859649122793,-0.3085250338295011,-0.4276315789473695,0.3369418132611665,0.629385964912287
development,120,2023-02-28 15:25:00+00:00,2023-02-28 15:00:00+00:00,2.0,2023-02-28 20:00:00+00:00,2023-02-28 20:05:00+00:00,2023-02-28 15:30:00+00:00,2023-02-28 17:20:00+00:00,-11.032343819229073,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 21:45:00+00:00,-3.0315750198218194,0.42701525054466594,0.6293859649122793,0.008714596949893984,-0.4276315789473695,0.2657952069716775,0.629385964912287
development,120,2023-03-05 15:30:00+00:00,2023-03-05 15:00:00+00:00,2.0,2023-03-05 17:55:00+00:00,2023-03-05 18:00:00+00:00,2023-03-05 15:35:00+00:00,2023-03-05 17:25:00+00:00,-5.648525758214951,2023-03-03 19:50:00+00:00,2023-03-03 15:00:00+00:00,2.0,,,2023-03-04 02:55:00+00:00,2023-03-03 19:55:00+00:00,2023-03-03 21:45:00+00:00,-3.0315750198218194,0.7475247524752533,0.6293859649122793,-0.5742574257425778,-0.4276315789473695,0.4900990099009955,0.629385964912287
development,120,2023-06-14 17:35:00+00:00,2023-06-14 15:00:00+00:00,2.0,2023-06-14 20:00:00+00:00,2023-06-14 20:05:00+00:00,2023-06-14 17:40:00+00:00,2023-06-14 19:30:00+00:00,-10.76077713089557,2023-06-02 19:05:00+00:00,2023-06-02 15:00:00+00:00,2.0,,,2023-06-03 02:55:00+00:00,2023-06-02 19:10:00+00:00,2023-06-02 21:00:00+00:00,-3.4053546265852552,1.3257328990227997,0.2478134110787197,-0.4755700325732919,-0.16326530612244136,0.7524429967426697,0.4198250728862926
development,120,2023-06-18 16:20:00+00:00,2023-06-18 15:00:00+00:00,2.0,2023-06-18 20:20:00+00:00,2023-06-18 20:25:00+00:00,2023-06-18 16:25:00+00:00,2023-06-18 18:15:00+00:00,-10.388294166086053,2023-06-02 19:05:00+00:00,2023-06-02 15:00:00+00:00,2.0,,,2023-06-03 02:55:00+00:00,2023-06-02 19:10:00+00:00,2023-06-02 21:00:00+00:00,-3.4053546265852552,0.32442748091603324,0.2478134110787197,-0.29770992366412613,-0.16326530612244136,0.3854961832061095,0.4198250728862926
development,120,2023-07-30 15:30:00+00:00,2023-07-30 15:00:00+00:00,3.0,2023-07-30 19:45:00+00:00,2023-07-30 19:50:00+00:00,2023-07-30 15:35:00+00:00,2023-07-30 17:25:00+00:00,-14.970657511277906,2023-08-08 00:05:00+00:00,2023-08-07 15:00:00+00:00,3.0,,,2023-08-08 02:55:00+00:00,2023-08-08 00:10:00+00:00,2023-08-08 02:00:00+00:00,-1.8781572470963903,0.664723032069965,0.3422222222222199,-0.2419825072886251,-0.2488888888888915,0.26239067055393545,0.3866666666666631
