structure_id,structure,direction,selection_status
S01,SWEEP_LOW_RECLAIM,LONG,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S02,HL_CONTINUATION,LONG,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S03,BREAK_HIGH_HOLD,LONG,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S04,FAILED_BREAKDOWN_RECLAIM,LONG,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S05,SWEEP_HIGH_REJECT,SHORT,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S06,LH_CONTINUATION,SHORT,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S07,BREAK_LOW_HOLD,SHORT,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
S08,FAILED_BREAKOUT_REJECT,SHORT,NO_STRUCTURE_SPECIFIC_ENTRY_FOUND
