structure_id,structure,direction,selection_status
S01,SWEEP_LOW_RECLAIM,LONG,NO_ENTRY_ARCHETYPE_FOUND
S02,HL_CONTINUATION,LONG,NO_ENTRY_ARCHETYPE_FOUND
S03,BREAK_HIGH_HOLD,LONG,NO_ENTRY_ARCHETYPE_FOUND
S04,FAILED_BREAKDOWN_RECLAIM,LONG,NO_ENTRY_ARCHETYPE_FOUND
S05,SWEEP_HIGH_REJECT,SHORT,NO_ENTRY_ARCHETYPE_FOUND
S06,LH_CONTINUATION,SHORT,NO_ENTRY_ARCHETYPE_FOUND
S07,BREAK_LOW_HOLD,SHORT,NO_ENTRY_ARCHETYPE_FOUND
S08,FAILED_BREAKOUT_REJECT,SHORT,NO_ENTRY_ARCHETYPE_FOUND
