year,side,outcome,n
2022,LONG,AMBIGUOUS,18
2022,LONG,LOSS,16729
2022,LONG,TIMEOUT,2493
2022,LONG,WIN,15800
2022,SHORT,AMBIGUOUS,18
2022,SHORT,LOSS,15800
2022,SHORT,TIMEOUT,2493
2022,SHORT,WIN,16729
2023,LONG,AMBIGUOUS,6
2023,LONG,LOSS,13546
2023,LONG,TIMEOUT,9206
2023,LONG,WIN,12282
2023,SHORT,AMBIGUOUS,6
2023,SHORT,LOSS,12282
2023,SHORT,TIMEOUT,9206
2023,SHORT,WIN,13546
2024,LONG,AMBIGUOUS,2
2024,LONG,LOSS,15688
2024,LONG,TIMEOUT,4173
2024,LONG,WIN,15273
2024,SHORT,AMBIGUOUS,2
2024,SHORT,LOSS,15273
2024,SHORT,TIMEOUT,4173
2024,SHORT,WIN,15688
2025,LONG,AMBIGUOUS,3
2025,LONG,LOSS,14345
2025,LONG,TIMEOUT,6344
2025,LONG,WIN,14348
2025,SHORT,AMBIGUOUS,3
2025,SHORT,LOSS,14348
2025,SHORT,TIMEOUT,6344
2025,SHORT,WIN,14345
2026,LONG,AMBIGUOUS,1
2026,LONG,LOSS,8665
2026,LONG,TIMEOUT,5692
2026,LONG,WIN,8395
2026,SHORT,AMBIGUOUS,1
2026,SHORT,LOSS,8395
2026,SHORT,TIMEOUT,5692
2026,SHORT,WIN,8665
