period,days,days_ge1_win,days_ge1_win_pct,days_ge1_long_win_pct,days_ge1_short_win_pct,wins_per_day_q25,wins_per_day_median,wins_per_day_q75,days_ge5_win_pct,days_ge10_win_pct
ALL,1699,1678,0.9876397881106533,0.9558563861094762,0.9487934078869924,71.0,92.0,96.0,0.9805768098881695,0.9699823425544438
DEV,1096,1082,0.9872262773722628,0.9552919708029197,0.9543795620437956,77.0,94.0,96.0,0.9799270072992701,0.9717153284671532
REF,603,596,0.988391376451078,0.956882255389718,0.9386401326699834,65.0,87.0,96.0,0.9817578772802653,0.966832504145937
