period,side,outcome,n
DEV,LONG,AMBIGUOUS,26
DEV,LONG,LOSS,45963
DEV,LONG,TIMEOUT,15872
DEV,LONG,WIN,43355
DEV,SHORT,AMBIGUOUS,26
DEV,SHORT,LOSS,43355
DEV,SHORT,TIMEOUT,15872
DEV,SHORT,WIN,45963
REF,LONG,AMBIGUOUS,4
REF,LONG,LOSS,23010
REF,LONG,TIMEOUT,12036
REF,LONG,WIN,22743
REF,SHORT,AMBIGUOUS,4
REF,SHORT,LOSS,22743
REF,SHORT,TIMEOUT,12036
REF,SHORT,WIN,23010
