label,period,state_family,state,n,success,success_rate
GE1R,DEV,pullback_state,LH_LL,756,364,0.48148148148148145
GE1R,DEV,pullback_state,LH_ONLY,20,8,0.4
GE1R,DEV,pullback_state,LL_ONLY,9,3,0.3333333333333333
GE1R,DEV,h1_state,HH_HL,318,148,0.46540880503144655
GE1R,DEV,h1_state,LL_LH,154,78,0.5064935064935064
GE1R,DEV,h1_state,MIXED,313,149,0.476038338658147
GE1R,DEV,most_recent_h1_pivot_type,BOTH,21,10,0.47619047619047616
GE1R,DEV,most_recent_h1_pivot_type,HIGH,429,201,0.46853146853146854
GE1R,DEV,most_recent_h1_pivot_type,LOW,335,164,0.48955223880597015
GE1R,REF,pullback_state,LH_LL,448,232,0.5178571428571429
GE1R,REF,pullback_state,LH_ONLY,12,9,0.75
GE1R,REF,pullback_state,LL_ONLY,3,0,0.0
GE1R,REF,h1_state,HH_HL,167,84,0.5029940119760479
GE1R,REF,h1_state,LL_LH,126,69,0.5476190476190477
GE1R,REF,h1_state,MIXED,170,88,0.5176470588235295
GE1R,REF,most_recent_h1_pivot_type,BOTH,9,5,0.5555555555555556
GE1R,REF,most_recent_h1_pivot_type,HIGH,255,127,0.4980392156862745
GE1R,REF,most_recent_h1_pivot_type,LOW,199,109,0.5477386934673367
GE1_5R,DEV,pullback_state,LH_LL,756,274,0.36243386243386244
GE1_5R,DEV,pullback_state,LH_ONLY,20,8,0.4
GE1_5R,DEV,pullback_state,LL_ONLY,9,2,0.2222222222222222
GE1_5R,DEV,h1_state,HH_HL,318,110,0.34591194968553457
GE1_5R,DEV,h1_state,LL_LH,154,58,0.37662337662337664
GE1_5R,DEV,h1_state,MIXED,313,116,0.3706070287539936
GE1_5R,DEV,most_recent_h1_pivot_type,BOTH,21,7,0.3333333333333333
GE1_5R,DEV,most_recent_h1_pivot_type,HIGH,429,158,0.3682983682983683
GE1_5R,DEV,most_recent_h1_pivot_type,LOW,335,119,0.35522388059701493
GE1_5R,REF,pullback_state,LH_LL,448,187,0.4174107142857143
GE1_5R,REF,pullback_state,LH_ONLY,12,6,0.5
GE1_5R,REF,pullback_state,LL_ONLY,3,0,0.0
GE1_5R,REF,h1_state,HH_HL,167,71,0.4251497005988024
GE1_5R,REF,h1_state,LL_LH,126,51,0.40476190476190477
GE1_5R,REF,h1_state,MIXED,170,71,0.4176470588235294
GE1_5R,REF,most_recent_h1_pivot_type,BOTH,9,4,0.4444444444444444
GE1_5R,REF,most_recent_h1_pivot_type,HIGH,255,105,0.4117647058823529
GE1_5R,REF,most_recent_h1_pivot_type,LOW,199,84,0.4221105527638191
CLEAN1R,DEV,pullback_state,LH_LL,756,231,0.3055555555555556
CLEAN1R,DEV,pullback_state,LH_ONLY,20,4,0.2
CLEAN1R,DEV,pullback_state,LL_ONLY,9,2,0.2222222222222222
CLEAN1R,DEV,h1_state,HH_HL,318,86,0.27044025157232704
CLEAN1R,DEV,h1_state,LL_LH,154,57,0.37012987012987014
CLEAN1R,DEV,h1_state,MIXED,313,94,0.3003194888178914
CLEAN1R,DEV,most_recent_h1_pivot_type,BOTH,21,3,0.14285714285714285
CLEAN1R,DEV,most_recent_h1_pivot_type,HIGH,429,127,0.29603729603729606
CLEAN1R,DEV,most_recent_h1_pivot_type,LOW,335,107,0.3194029850746269
CLEAN1R,REF,pullback_state,LH_LL,448,162,0.36160714285714285
CLEAN1R,REF,pullback_state,LH_ONLY,12,8,0.6666666666666666
CLEAN1R,REF,pullback_state,LL_ONLY,3,0,0.0
CLEAN1R,REF,h1_state,HH_HL,167,58,0.3473053892215569
CLEAN1R,REF,h1_state,LL_LH,126,52,0.4126984126984127
CLEAN1R,REF,h1_state,MIXED,170,60,0.35294117647058826
CLEAN1R,REF,most_recent_h1_pivot_type,BOTH,9,2,0.2222222222222222
CLEAN1R,REF,most_recent_h1_pivot_type,HIGH,255,88,0.34509803921568627
CLEAN1R,REF,most_recent_h1_pivot_type,LOW,199,80,0.4020100502512563
CLEAN1_5R,DEV,pullback_state,LH_LL,756,167,0.2208994708994709
CLEAN1_5R,DEV,pullback_state,LH_ONLY,20,2,0.1
CLEAN1_5R,DEV,pullback_state,LL_ONLY,9,1,0.1111111111111111
CLEAN1_5R,DEV,h1_state,HH_HL,318,57,0.1792452830188679
CLEAN1_5R,DEV,h1_state,LL_LH,154,40,0.2597402597402597
CLEAN1_5R,DEV,h1_state,MIXED,313,73,0.23322683706070288
CLEAN1_5R,DEV,most_recent_h1_pivot_type,BOTH,21,3,0.14285714285714285
CLEAN1_5R,DEV,most_recent_h1_pivot_type,HIGH,429,98,0.22843822843822845
CLEAN1_5R,DEV,most_recent_h1_pivot_type,LOW,335,69,0.20597014925373133
CLEAN1_5R,REF,pullback_state,LH_LL,448,129,0.28794642857142855
CLEAN1_5R,REF,pullback_state,LH_ONLY,12,6,0.5
CLEAN1_5R,REF,pullback_state,LL_ONLY,3,0,0.0
CLEAN1_5R,REF,h1_state,HH_HL,167,50,0.2994011976047904
CLEAN1_5R,REF,h1_state,LL_LH,126,36,0.2857142857142857
CLEAN1_5R,REF,h1_state,MIXED,170,49,0.28823529411764703
CLEAN1_5R,REF,most_recent_h1_pivot_type,BOTH,9,2,0.2222222222222222
CLEAN1_5R,REF,most_recent_h1_pivot_type,HIGH,255,74,0.2901960784313726
CLEAN1_5R,REF,most_recent_h1_pivot_type,LOW,199,59,0.2964824120603015
