feature,year,band,n,ge1r,ge1r_rate
compression_last3_vs_earlier,2022,Q1,36,20,0.5555555555555556
compression_last3_vs_earlier,2022,Q2,40,23,0.575
compression_last3_vs_earlier,2022,Q3,34,22,0.6470588235294118
compression_last3_vs_earlier,2022,Q4,32,18,0.5625
compression_last3_vs_earlier,2023,Q1,33,9,0.2727272727272727
compression_last3_vs_earlier,2023,Q2,28,17,0.6071428571428571
compression_last3_vs_earlier,2023,Q3,31,16,0.5161290322580645
compression_last3_vs_earlier,2023,Q4,36,20,0.5555555555555556
compression_last3_vs_earlier,2024,Q1,35,11,0.3142857142857143
compression_last3_vs_earlier,2024,Q2,36,16,0.4444444444444444
compression_last3_vs_earlier,2024,Q3,39,15,0.38461538461538464
compression_last3_vs_earlier,2024,Q4,36,14,0.3888888888888889
compression_last3_vs_earlier,2025,Q1,51,25,0.49019607843137253
compression_last3_vs_earlier,2025,Q2,39,19,0.48717948717948717
compression_last3_vs_earlier,2025,Q3,39,28,0.717948717948718
compression_last3_vs_earlier,2025,Q4,38,18,0.47368421052631576
compression_last3_vs_earlier,2026,Q1,30,13,0.43333333333333335
compression_last3_vs_earlier,2026,Q2,20,9,0.45
compression_last3_vs_earlier,2026,Q3,20,10,0.5
compression_last3_vs_earlier,2026,Q4,20,12,0.6
zone_age_hours,2022,Q1,64,30,0.46875
zone_age_hours,2022,Q2,74,37,0.5
zone_age_hours,2022,Q3,57,31,0.543859649122807
zone_age_hours,2022,Q4,80,42,0.525
zone_age_hours,2023,Q1,68,32,0.47058823529411764
zone_age_hours,2023,Q2,58,24,0.41379310344827586
zone_age_hours,2023,Q3,62,31,0.5
zone_age_hours,2023,Q4,52,28,0.5384615384615384
zone_age_hours,2024,Q1,65,29,0.4461538461538462
zone_age_hours,2024,Q2,66,25,0.3787878787878788
zone_age_hours,2024,Q3,75,32,0.4266666666666667
zone_age_hours,2024,Q4,64,34,0.53125
zone_age_hours,2025,Q1,66,36,0.5454545454545454
zone_age_hours,2025,Q2,69,31,0.4492753623188406
zone_age_hours,2025,Q3,81,47,0.5802469135802469
zone_age_hours,2025,Q4,83,51,0.6144578313253012
zone_age_hours,2026,Q1,31,15,0.4838709677419355
zone_age_hours,2026,Q2,42,19,0.4523809523809524
zone_age_hours,2026,Q3,39,18,0.46153846153846156
zone_age_hours,2026,Q4,52,24,0.46153846153846156
last1_progress_zw,2022,Q1,64,27,0.421875
last1_progress_zw,2022,Q2,54,28,0.5185185185185185
last1_progress_zw,2022,Q3,77,38,0.4935064935064935
last1_progress_zw,2022,Q4,80,47,0.5875
last1_progress_zw,2023,Q1,69,36,0.5217391304347826
last1_progress_zw,2023,Q2,59,34,0.576271186440678
last1_progress_zw,2023,Q3,50,22,0.44
last1_progress_zw,2023,Q4,62,23,0.3709677419354839
last1_progress_zw,2024,Q1,64,28,0.4375
