period,label,n,success,base_rate
DEV,GE1R,785,375,0.47770700636942676
DEV,GE1_5R,785,284,0.36178343949044584
DEV,CLEAN1R,785,237,0.3019108280254777
DEV,CLEAN1_5R,785,170,0.21656050955414013
REF,GE1R,463,241,0.5205183585313174
REF,GE1_5R,463,193,0.4168466522678186
REF,CLEAN1R,463,170,0.367170626349892
REF,CLEAN1_5R,463,135,0.2915766738660907
