period,baseline_outcome,tp2_available,tp2_hit_before_sl,tp2_hit_rate,tp2_hit_24h,tp2_hit_24h_rate,median_tp2_distance_r
DEV,WIN,288,241,0.8368055555555556,236,0.8194444444444444,0.44711049468333597
DEV,LOSS,94,0,0.0,0,0.0,0.8028314917127134
REF,WIN,178,162,0.9101123595505618,161,0.9044943820224719,0.35047634250223325
REF,LOSS,63,0,0.0,0,0.0,1.0129870129870198
