period,baseline_outcome,room_band_24h,n
DEV,LOSS,0.25-0.50R,31
DEV,LOSS,0.50-1.00R,14
DEV,LOSS,1.00-2.00R,1
DEV,LOSS,<0.25R,69
DEV,WIN,0.25-0.50R,46
DEV,WIN,0.50-1.00R,77
DEV,WIN,1.00-2.00R,71
DEV,WIN,<0.25R,24
DEV,WIN,>=2.00R,107
REF,LOSS,0.25-0.50R,11
REF,LOSS,0.50-1.00R,12
REF,LOSS,1.00-2.00R,3
REF,LOSS,<0.25R,45
REF,WIN,0.25-0.50R,19
REF,WIN,0.50-1.00R,39
REF,WIN,1.00-2.00R,46
REF,WIN,<0.25R,26
REF,WIN,>=2.00R,71
