period,baseline_outcome,threshold_r,n,reached_24h,rate_24h,reached_pre_sl,rate_pre_sl
DEV,WIN,0.25,325,301,0.9261538461538461,305,0.9384615384615385
DEV,WIN,0.5,325,255,0.7846153846153846,264,0.8123076923076923
DEV,WIN,1.0,325,178,0.5476923076923077,192,0.5907692307692308
DEV,WIN,1.5,325,133,0.40923076923076923,155,0.47692307692307695
DEV,WIN,2.0,325,107,0.3292307692307692,138,0.4246153846153846
DEV,LOSS,0.25,115,46,0.4,46,0.4
DEV,LOSS,0.5,115,15,0.13043478260869565,15,0.13043478260869565
DEV,LOSS,1.0,115,1,0.008695652173913044,1,0.008695652173913044
DEV,LOSS,1.5,115,0,0.0,0,0.0
DEV,LOSS,2.0,115,0,0.0,0,0.0
REF,WIN,0.25,201,175,0.8706467661691543,187,0.9303482587064676
REF,WIN,0.5,201,156,0.7761194029850746,169,0.8407960199004975
REF,WIN,1.0,201,117,0.582089552238806,125,0.6218905472636815
REF,WIN,1.5,201,94,0.46766169154228854,106,0.527363184079602
REF,WIN,2.0,201,71,0.35323383084577115,94,0.46766169154228854
REF,LOSS,0.25,71,26,0.36619718309859156,26,0.36619718309859156
REF,LOSS,0.5,71,15,0.2112676056338028,16,0.22535211267605634
REF,LOSS,1.0,71,3,0.04225352112676056,3,0.04225352112676056
REF,LOSS,1.5,71,1,0.014084507042253521,1,0.014084507042253521
REF,LOSS,2.0,71,0,0.0,0,0.0
