structure_id,structure,direction,n,n_2022,n_2023,n_2024,n_2025,n_2026,per365,median_gap_h,eras_ge15,max_era_share,status
S01,SWING_LOW_SWEEP_RECLAIM,LONG,8274,1758,1813,1800,1730,1173,1778.5689045936397,3.5,5,0.21912013536379019,STRUCTURALLY_VIABLE
S02,HH_HL_SETUP,LONG,5326,1128,1094,1182,1168,754,1144.8704358068317,5.5,5,0.22193015396169732,STRUCTURALLY_VIABLE
S03,BREAK_RETEST_HOLD,LONG,4348,900,892,998,941,617,934.640753828033,6.75,5,0.22953081876724932,STRUCTURALLY_VIABLE
S04,FAILED_BREAKDOWN_RECLAIM,LONG,4362,944,960,918,927,613,937.6501766784453,7.0,5,0.2200825309491059,STRUCTURALLY_VIABLE
S05,SWING_HIGH_SWEEP_REJECT,SHORT,8553,1815,1863,1861,1816,1198,1838.5424028268553,3.5,5,0.21781830936513505,STRUCTURALLY_VIABLE
S06,LL_LH_SETUP,SHORT,5039,1104,1011,1085,1119,720,1083.1772673733806,6.0,5,0.22206787060924787,STRUCTURALLY_VIABLE
S07,BREAK_RETEST_REJECT,SHORT,3936,883,851,819,864,519,846.077738515901,7.5,5,0.22433943089430894,STRUCTURALLY_VIABLE
S08,FAILED_BREAKOUT_REJECT,SHORT,4542,935,973,1021,969,644,976.3427561837456,6.5,5,0.22479084103918978,STRUCTURALLY_VIABLE
