side,character,direction,nom_tf,latency_min,dev_eligible,dev_n180,dev_med180,dev_hit180,dev_favdom,ref_n180,ref_med180,ref_hit180,ref_favdom,ref_validated
UPPER,C1_CLEAN_REJECTION,SHORT,TF05,5.0,True,109.0,0.10502429161820477,0.6146788990825688,0.5833333333333334,53.0,0.0745618443808222,0.5471698113207547,0.5172413793103449,True
UPPER,C3_ACCEPTANCE_HOLD,LONG,NO_NOMINATION,,False,,,,,,,,,False
LOWER,C1_CLEAN_REJECTION,LONG,NO_NOMINATION,,False,,,,,,,,,False
LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,60.0,True,76.0,0.1215300823794129,0.6447368421052632,0.5421686746987951,42.0,0.028980597245939772,0.5714285714285714,0.5454545454545454,True
