period,n,n60,median60,hit60,n180,median180,hit180,median_mfe,median_mae,favdom
DEV,203,193,0.016403517658473737,0.5077720207253886,185,0.11877286344383459,0.6270270270270271,0.46477604066242356,0.348907803709601,0.5665024630541872
REF,102,98,0.002891548883454419,0.5102040816326531,95,0.05187526012894462,0.5578947368421052,0.4605032463992115,0.4425982769111785,0.5294117647058824
ALL,305,291,0.009019890333004054,0.5085910652920962,280,0.09079569374796437,0.6035714285714285,0.46477604066242356,0.3636579021661064,0.5540983606557377
