stage,n,share_of_h4_zones,retained_from_previous
H4 demand zones activated 2022-2024,322,1.0,
+ first H1 retest,307,0.953416149068323,0.953416149068323
+ retest close holds H4 demand,271,0.8416149068322981,0.8827361563517915
+ confirmed H1 expansion/new high,201,0.6242236024844721,0.7416974169741697
+ >=2 H1 pullback bars,201,0.6242236024844721,1.0
VISUAL_EQUIVALENT,201,0.6242236024844721,1.0
STRICT_EXACT,147,0.45652173913043476,0.7313432835820896
