period,target_family,candidate,n,runner_n,clean_signals,signal_rate_runner,base_catastrophic,catastrophic_captured,catastrophic_capture_rate,base_target_winners,winner_false_exit,winner_false_exit_rate,base_unresolved,unresolved_exited,signal_precision_nontarget,median_failure_exit_r,median_r_improve_vs_base,median_cat_r_saved,median_lead_to_cat_min,median_false_exit_to_target_min,later_target_after_false_exit,later_target_after_false_exit_rate,false_reclaim_next5_rate,false_reclaim_within15_rate,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,delta_vs_fixed_t1_mean_r,delta_vs_base_mean_r
DEV,T15,F1_T05_CLOSE5,286,71,25,0.352112676056338,10,10,1.0,59,13,0.22033898305084745,2,2,0.48,0.13458262350937306,-0.7709251101321397,1.3332963374029023,220.0,200.0,13,1.0,0.46153846153846156,0.6923076923076923,0.007261485234068746,2.0767847769436614,1.0165602225047796,23.83516987934595,5,0.02199673210363232,0.009879984080241827
DEV,T15,F2_T05_CLOSE15,286,71,24,0.3380281690140845,10,10,1.0,59,12,0.2033898305084746,2,2,0.5,0.0848390661378035,-0.36482763443114996,1.4202019587566201,215.0,217.5,12,1.0,0.4166666666666667,0.6666666666666666,0.004432406713889787,1.2676683201724792,1.0100285467422168,23.598790936780482,5,0.019167653583453362,0.007050905560062874
DEV,T15,F3_ANCHOR_CLOSE5,286,71,15,0.2112676056338028,10,10,1.0,59,4,0.06779661016949153,2,1,0.7333333333333333,-0.20889348500516963,0.8871252204585566,1.0552110137127526,117.5,277.5,4,1.0,0.25,0.75,0.013121481235274894,3.7527436332886195,1.0290706026671876,23.003129351751078,5,0.027856728104838465,0.015739980081447977
DEV,T15,F4_ANCHOR_CLOSE15,286,71,15,0.2112676056338028,10,10,1.0,59,4,0.06779661016949153,2,1,0.7333333333333333,-0.27547169811319533,0.7886792452830378,1.092048473299306,115.0,270.0,4,1.0,0.25,0.5,0.010465721126992296,2.9931962423197964,1.0230511450556359,23.5894009373731,5,0.02520096799655587,0.013084219973165386
DEV,T15,F5_T05_TWO_CONSEC_CLOSE5,286,71,22,0.30985915492957744,10,10,1.0,59,10,0.1694915254237288,2,2,0.5454545454545454,0.10088528626561588,0.09815668202764395,1.4151023844440989,215.0,367.5,10,1.0,0.2,0.6,0.01083588033526682,3.0990617758863106,1.024545431337779,23.337079009455113,5,0.025571127204830388,0.013454379181439902
DEV,T15,F6_T05_RECLAIM_ATTEMPT_REJECT,286,71,18,0.2535211267605634,10,6,0.6,59,10,0.1694915254237288,2,2,0.4444444444444444,0.20559935594914786,-0.7757771512447482,1.577830192838965,327.5,367.5,10,1.0,0.4,0.6,-0.0005865690316132186,-0.1677587430413805,0.9987085520417477,23.13191105079879,5,0.014148677837950359,0.0020319298145598684
DEV,T2,F1_T05_CLOSE5,286,71,38,0.5352112676056338,16,16,1.0,45,15,0.3333333333333333,10,7,0.6052631578947368,0.11385236915481114,0.12099334357398892,1.3642391687213844,232.5,525.0,15,1.0,0.3333333333333333,0.6666666666666666,-0.005978215456407385,-1.7097696205325121,0.9863853192224926,24.428795537509878,5,0.008757031413156193,0.022790711114836652
DEV,T2,F2_T05_CLOSE15,286,71,37,0.5211267605633803,16,16,1.0,45,14,0.3111111111111111,10,7,0.6216216216216216,0.0861079219288171,0.15821812596005747,1.3467207572684239,227.5,567.5,14,1.0,0.2857142857142857,0.7857142857142857,-0.008224365533805744,-2.3521685426684424,0.9814376536903774,23.701627091066047,7,0.00651088133575782,0.02054456103743828
DEV,T2,F3_ANCHOR_CLOSE5,286,71,26,0.36619718309859156,16,16,1.0,45,6,0.13333333333333333,10,4,0.7692307692307693,-0.24831506175696183,0.7336482282418745,0.9779808930100049,117.5,512.5,6,1.0,0.16666666666666666,0.5,-0.013453672773303928,-3.847750413164923,0.9715187400241527,25.649389946677942,7,0.0012815740962596601,0.015315253797940121
DEV,T2,F4_ANCHOR_CLOSE15,286,71,26,0.36619718309859156,16,16,1.0,45,6,0.13333333333333333,10,4,0.7692307692307693,-0.29911151043225714,0.5983951741406572,0.8562790875104928,75.0,500.0,6,1.0,0.16666666666666666,0.3333333333333333,-0.023147876089574502,-6.6202925616183075,0.9519816869784699,27.590050057226495,7,-0.008412629220010933,0.005621050481669531
