year,candidate,signals,available,filled,fill_rate,resolved,wins,losses,wr_resolved,median_win_r,mean_win_r,expectancy_per_filled,expectancy_per_signal,total_r_per_signal_book,profit_factor,max_drawdown_r,max_loss_streak,median_entry_improvement_event_r,median_risk_compression,median_target_rr,ge1_winners_available,ge1_winners_filled,ge1_winners_resolve_win,ge1_winners_missed_nofill,ge1_winners_became_loss,false_positives_available,false_positives_avoided_nofill,false_positive_avoid_rate,ambiguous_fill_bar,ambiguous_after_entry,unresolved_after_entry
2022,MARKET_SIGNAL_CLOSE,57,57,57,1.0,57,38,19,0.6666666666666666,0.44949494949495206,0.40833300192695754,-0.06111133204869497,-0.06111133204869497,-3.483345926775613,0.8166660038539151,5.179018821254075,2,0.0,0.0,0.4585635359115928,38,38,38,0,0,19,0,0.0,0,0,0
2022,LIMIT_HALF_RETRACE,57,57,38,0.6666666666666666,38,21,17,0.5526315789473685,0.7122807017543707,0.6779737025261658,-0.07269874334080302,-0.048465828893868676,-2.7625522469505146,0.8374969266499697,5.542508022557071,2,0.18560606060606502,0.13535911602210182,0.6869009584664474,38,21,21,12,0,19,0,0.0,7,0,0
2022,LIMIT_ANCHOR_RETEST,57,57,29,0.5087719298245614,29,12,17,0.41379310344827586,1.0,1.0,-0.1724137931034483,-0.08771929824561403,-5.0,0.7058823529411765,6.0,2,0.37121212121213004,0.27071823204420353,1.0,38,12,12,25,0,19,0,0.0,3,0,0
2022,LIMIT_DEMAND_HIGH_RETEST,57,53,24,0.4528301886792453,24,10,14,0.4166666666666667,0.6467398003204834,0.9557704423362701,-0.18509564902655415,-0.07793501011644385,-4.442295576637299,0.6826931730973358,7.871732806074524,2,0.5041322314049784,0.3609756097560911,1.3076923076922404,35,10,10,23,0,18,0,0.0,6,0,0
2023,MARKET_SIGNAL_CLOSE,42,42,42,1.0,42,30,12,0.7142857142857143,0.4170879220075732,0.4093640352736258,0.0066885966240184495,0.0066885966240184495,0.2809210582087749,1.0234100881840644,3.8225177918292097,2,0.0,0.0,0.4594099913867167,30,30,30,0,0,12,0,0.0,0,0,0
2023,LIMIT_HALF_RETRACE,42,42,30,0.7142857142857143,30,19,11,0.6333333333333333,0.6912751677852124,0.6817510299946573,0.06510898566328296,0.046506418330916406,1.953269569898489,1.1775699608998627,3.82450865574071,2,0.18521888585583285,0.13514750215331756,0.6874606401928665,30,19,19,8,0,12,0,0.0,4,0,0
2023,LIMIT_ANCHOR_RETEST,42,42,24,0.5714285714285714,24,13,11,0.5416666666666666,1.0,1.0000000000000027,0.08333333333333477,0.04761904761904844,2.0000000000000346,1.181818181818185,3.0,2,0.3704377717116747,0.27029500430664166,1.0,30,13,13,16,0,12,0,0.0,2,0,0
2023,LIMIT_DEMAND_HIGH_RETEST,42,40,18,0.45,18,7,11,0.3888888888888889,0.8873239436619955,2.720881630880585,0.4470095231202277,0.19157550990866895,8.046171416164096,1.7314701287421905,8.498646944836182,2,0.6675579322638335,0.4972808174027634,1.9337215979001203,29,7,7,22,0,11,0,0.0,0,0,0
2024,MARKET_SIGNAL_CLOSE,52,52,52,1.0,52,40,12,0.7692307692307693,0.4439668134939421,0.4317872922012883,0.1013748401548372,0.1013748401548372,5.271491688051535,1.4392909740042945,3.004858395544421,2,0.0,0.0,0.48147741989388065,40,40,40,0,0,12,0,0.0,0,0,0
2024,LIMIT_HALF_RETRACE,52,52,31,0.5961538461538461,31,19,12,0.6129032258064516,0.7046004842614474,0.7009308988839278,0.042506034799826724,0.025340136130665932,1.3176870787946284,1.109807256566219,3.1797611218743955,2,0.17500618623418857,0.12963064502651783,0.7021223061876618,40,19,19,20,0,12,0,0.0,1,0,0
2024,LIMIT_ANCHOR_RETEST,52,52,26,0.5,26,15,11,0.5769230769230769,1.0,1.0,0.15384615384615385,0.07692307692307693,4.0,1.3636363636363635,2.0,1,0.3500123724684094,0.2592612900530597,1.0,40,15,15,25,0,12,0,0.0,1,0,0
2024,LIMIT_DEMAND_HIGH_RETEST,52,47,19,0.40425531914893614,19,9,10,0.47368421052631576,1.0918367346939084,1.2145565795820294,0.04900048506517189,0.01790402338919741,0.9310092162382653,1.0931009216238265,2.0343442787237374,1,0.5340909090909428,0.40163934426227965,1.532871972318329,36,9,9,27,0,11,0,0.0,1,0,0
2025,MARKET_SIGNAL_CLOSE,62,62,62,1.0,61,52,9,0.8524590163934426,0.39604661370944405,0.37177800599781935,0.16665252115946133,0.16665252115946133,10.332456311886602,2.148050701320734,2.0760688025869154,2,0.0,0.0,0.4061869673126874,52,52,52,0,0,10,0,0.0,0,1,0
2025,LIMIT_HALF_RETRACE,62,62,34,0.5483870967741935,33,25,8,0.7575757575757576,0.6890459363957935,0.6673701918442867,0.2554192587090344,0.14006862574366402,8.684254796107169,2.085531849513396,2.44411326378541,2,0.21115531487907796,0.14845325817182625,0.6513257456091023,52,25,25,23,0,10,0,0.0,5,1,0
2025,LIMIT_ANCHOR_RETEST,62,62,29,0.46774193548387094,28,20,8,0.7142857142857143,1.0,0.9999999999999997,0.41379310344827563,0.19354838709677408,11.999999999999993,2.499999999999999,2.0,2,0.42231062975816136,0.2969065163436563,1.0,52,20,20,31,0,10,0,0.0,2,1,0
2025,LIMIT_DEMAND_HIGH_RETEST,62,53,23,0.4339622641509434,22,15,7,0.6818181818181818,0.9207459207458861,1.0178430762025006,0.35946287578423947,0.13334913133931467,8.26764614303751,2.1810923061482153,2.0,2,0.4793650793650626,0.34865900383142534,1.2650356778797036,44,15,15,29,0,9,0,0.0,1,1,0
2026,MARKET_SIGNAL_CLOSE,39,39,39,1.0,39,31,8,0.7948717948717948,0.5052264808362916,0.4563790930526915,0.15763466370854964,0.15763466370854964,6.147751884633436,1.7684689855791795,2.679468242245188,2,0.0,0.0,0.47712418300655635,31,31,31,0,0,8,0,0.0,0,0,0
2026,LIMIT_HALF_RETRACE,39,39,25,0.6410256410256411,25,18,7,0.72,0.7248034253334605,0.6981954922820135,0.22270075444304976,0.14275689387374985,5.567518861076244,1.7953598372966062,2.266512166859794,2,0.17699115044246852,0.13071895424836089,0.6992481203007653,31,18,18,11,0,8,0,0.0,3,0,0
2026,LIMIT_ANCHOR_RETEST,39,39,19,0.48717948717948717,19,12,7,0.631578947368421,1.0,1.0,0.2631578947368421,0.1282051282051282,5.0,1.7142857142857142,3.0,2,0.35398230088493704,0.2614379084967219,1.0,31,12,12,19,0,8,0,0.0,1,0,0
2026,LIMIT_DEMAND_HIGH_RETEST,39,35,15,0.42857142857142855,15,11,4,0.7333333333333333,0.9742268041237347,1.500509661992311,0.8337070854610279,0.32065657133116465,12.505606281915421,4.126401570478856,3.0,2,0.5388127853881435,0.37953795379537547,1.2812500000001055,29,11,11,18,0,6,0,0.0,2,0,0
