period,candidate,status,n
DEV,MARKET_SIGNAL_CLOSE,LOSS,43
DEV,MARKET_SIGNAL_CLOSE,WIN,108
DEV,LIMIT_HALF_RETRACE,AMBIGUOUS_FILL_BAR,12
DEV,LIMIT_HALF_RETRACE,LOSS,40
DEV,LIMIT_HALF_RETRACE,NO_FILL_TARGET_FIRST,40
DEV,LIMIT_HALF_RETRACE,WIN,59
DEV,LIMIT_ANCHOR_RETEST,AMBIGUOUS_FILL_BAR,6
DEV,LIMIT_ANCHOR_RETEST,LOSS,39
DEV,LIMIT_ANCHOR_RETEST,NO_FILL_TARGET_FIRST,66
DEV,LIMIT_ANCHOR_RETEST,WIN,40
DEV,LIMIT_DEMAND_HIGH_RETEST,AMBIGUOUS_FILL_BAR,7
DEV,LIMIT_DEMAND_HIGH_RETEST,LOSS,35
DEV,LIMIT_DEMAND_HIGH_RETEST,NO_FILL_TARGET_FIRST,72
DEV,LIMIT_DEMAND_HIGH_RETEST,UNAVAILABLE,11
DEV,LIMIT_DEMAND_HIGH_RETEST,WIN,26
REF,MARKET_SIGNAL_CLOSE,AMBIGUOUS_AFTER_ENTRY,1
REF,MARKET_SIGNAL_CLOSE,LOSS,17
REF,MARKET_SIGNAL_CLOSE,WIN,83
REF,LIMIT_HALF_RETRACE,AMBIGUOUS_AFTER_ENTRY,1
REF,LIMIT_HALF_RETRACE,AMBIGUOUS_FILL_BAR,8
REF,LIMIT_HALF_RETRACE,LOSS,15
REF,LIMIT_HALF_RETRACE,NO_FILL_TARGET_FIRST,34
REF,LIMIT_HALF_RETRACE,WIN,43
REF,LIMIT_ANCHOR_RETEST,AMBIGUOUS_AFTER_ENTRY,1
REF,LIMIT_ANCHOR_RETEST,AMBIGUOUS_FILL_BAR,3
REF,LIMIT_ANCHOR_RETEST,LOSS,15
REF,LIMIT_ANCHOR_RETEST,NO_FILL_TARGET_FIRST,50
REF,LIMIT_ANCHOR_RETEST,WIN,32
REF,LIMIT_DEMAND_HIGH_RETEST,AMBIGUOUS_AFTER_ENTRY,1
REF,LIMIT_DEMAND_HIGH_RETEST,AMBIGUOUS_FILL_BAR,3
REF,LIMIT_DEMAND_HIGH_RETEST,LOSS,11
REF,LIMIT_DEMAND_HIGH_RETEST,NO_FILL_TARGET_FIRST,47
REF,LIMIT_DEMAND_HIGH_RETEST,UNAVAILABLE,13
REF,LIMIT_DEMAND_HIGH_RETEST,WIN,26
