period,candidate,signals,available,filled,fill_rate,resolved,wins,losses,wr_resolved,median_win_r,mean_win_r,expectancy_per_filled,expectancy_per_signal,total_r_per_signal_book,profit_factor,max_drawdown_r,max_loss_streak,median_entry_improvement_event_r,median_risk_compression,median_target_rr,ge1_winners_available,ge1_winners_filled,ge1_winners_resolve_win,ge1_winners_missed_nofill,ge1_winners_became_loss,false_positives_available,false_positives_avoided_nofill,false_positive_avoid_rate,ambiguous_fill_bar,ambiguous_after_entry,unresolved_after_entry
DEV,MARKET_SIGNAL_CLOSE,151,151,151,1.0,151,108,43,0.7152317880794702,0.43939393939393745,0.417306174254488,0.013702429268110569,0.013702429268110569,2.069066819484696,1.0481178330112721,5.806660156482641,2,0.0,0.0,0.4701492537313487,108,108,108,0,0,43,0,0.0,0,0,0
DEV,LIMIT_HALF_RETRACE,151,151,99,0.6556291390728477,99,59,40,0.5959595959595959,0.7046004842614474,0.6865831254532643,0.005135397997400019,0.003366916567831806,0.5084044017426027,1.012710110043565,5.542508022557071,2,0.18020304568526227,0.1324626865671522,0.6946236559139614,108,59,59,40,0,43,0,0.0,12,0,0
DEV,LIMIT_ANCHOR_RETEST,151,151,79,0.5231788079470199,79,40,39,0.5063291139240507,1.0,1.0000000000000009,0.012658227848101705,0.00662251655629162,1.0000000000000346,1.0256410256410267,6.0,2,0.3604060913705534,0.2649253731343256,1.0,108,40,40,66,0,43,0,0.0,6,0,0
DEV,LIMIT_DEMAND_HIGH_RETEST,151,140,61,0.4357142857142857,61,26,35,0.4262295081967213,1.086002463812732,1.5205725021448102,0.07434237796336171,0.030032351362682525,4.534885055765061,1.1295681444504304,10.53299122355992,2,0.5434234187049377,0.3945910973084929,1.4496274700355891,100,26,26,72,0,40,0,0.0,7,0,0
REF,MARKET_SIGNAL_CLOSE,101,101,101,1.0,100,83,17,0.83,0.41204170871173873,0.4033760023677114,0.16317037818336672,0.16317037818336672,16.48020819652004,1.9694240115600028,2.8087485514040456,2,0.0,0.0,0.4179894179893416,83,83,83,0,0,18,0,0.0,0,1,0
REF,LIMIT_HALF_RETRACE,101,101,59,0.5841584158415841,58,43,15,0.7413793103448276,0.7176938369781279,0.6802738059810097,0.24155548571497307,0.14110666987310308,14.251773657183412,1.9501182438122278,3.1465858003928293,2,0.2052238805970105,0.14550264550263448,0.6594427244580936,83,43,43,34,0,18,0,0.0,8,1,0
REF,LIMIT_ANCHOR_RETEST,101,101,48,0.4752475247524752,47,32,15,0.6808510638297872,1.0,0.9999999999999998,0.3541666666666665,0.16831683168316824,16.999999999999993,2.133333333333333,3.0,2,0.4104477611941058,0.29100529100532924,1.0,83,32,32,50,0,18,0,0.0,3,1,0
REF,LIMIT_DEMAND_HIGH_RETEST,101,88,38,0.4318181818181818,37,26,11,0.7027027027027027,0.9342787215663875,1.2220481701904973,0.5466645374987613,0.20567576658369235,20.77325242495293,2.888477493177539,5.0,2,0.5051724137931186,0.3560643287916176,1.2714217998731092,73,26,26,47,0,15,0,0.0,3,1,0
