year,family,side,sessions,touch_n,touch_rate,median_overshoot_norm,near_extreme25_rate,median_reaction_norm,close_back_inside_rate
2022,MID,UPPER,365,170,0.4657534246575342,0.834936790691325,0.20588235294117646,0.9005204700679695,0.49411764705882355
2022,MID,LOWER,365,180,0.4931506849315068,0.7202057966498158,0.2222222222222222,0.8544094693475582,0.55
2022,WALL,UPPER,365,74,0.20273972602739726,0.3934103053389043,0.32432432432432434,0.42011442636686414,0.4594594594594595
2022,WALL,LOWER,365,83,0.2273972602739726,0.47685919830290846,0.26506024096385544,0.39700847891125696,0.5060240963855421
2022,EXTREME,UPPER,365,26,0.07123287671232877,0.3637362722133088,0.3076923076923077,0.3337850779284009,0.4230769230769231
2022,EXTREME,LOWER,365,21,0.057534246575342465,0.41309751196693906,0.42857142857142855,0.4767526910180748,0.5238095238095238
2022,RV1,UPPER,365,90,0.2465753424657534,0.5548352056773173,0.28888888888888886,0.5239436583620054,0.4222222222222222
2022,RV1,LOWER,365,108,0.2958904109589041,0.598073075560243,0.24074074074074073,0.6136919225081835,0.49074074074074076
2023,MID,UPPER,365,184,0.5041095890410959,0.9243802528389944,0.15760869565217392,1.0417033282759747,0.5434782608695652
2023,MID,LOWER,365,183,0.5013698630136987,1.0469834599026524,0.17486338797814208,0.9917489137299953,0.5792349726775956
2023,WALL,UPPER,365,81,0.2219178082191781,0.6206284152083655,0.2222222222222222,0.7318964541124471,0.5679012345679012
2023,WALL,LOWER,365,76,0.20821917808219179,0.5084577544266677,0.27631578947368424,0.5222598550473545,0.618421052631579
2023,EXTREME,UPPER,365,28,0.07671232876712329,0.2642198202863483,0.5,0.6784479028278945,0.6071428571428571
2023,EXTREME,LOWER,365,21,0.057534246575342465,0.3329565033900385,0.42857142857142855,0.5288551609570099,0.5238095238095238
2023,RV1,UPPER,365,111,0.3041095890410959,0.7024706112572874,0.25225225225225223,0.7627059588375404,0.5135135135135135
2023,RV1,LOWER,365,111,0.3041095890410959,0.6849992401647539,0.23423423423423423,0.5790945648706548,0.5945945945945946
2024,MID,UPPER,366,186,0.5081967213114754,0.8243104744059415,0.1774193548387097,0.9652858803065534,0.478494623655914
2024,MID,LOWER,366,181,0.49453551912568305,0.9342158821566336,0.17679558011049723,0.9695466253844592,0.5580110497237569
2024,WALL,UPPER,366,78,0.21311475409836064,0.4330330499996903,0.3076923076923077,0.3907396265711779,0.5256410256410257
2024,WALL,LOWER,366,82,0.22404371584699453,0.4806381779163241,0.3048780487804878,0.583273985780992,0.6585365853658537
2024,EXTREME,UPPER,366,23,0.06284153005464481,0.32413580937408554,0.391304347826087,0.40992282700101057,0.4782608695652174
2024,EXTREME,LOWER,366,21,0.05737704918032787,0.5061361324780539,0.38095238095238093,0.4217884937517639,0.7142857142857143
2024,RV1,UPPER,366,106,0.2896174863387978,0.6024007025060605,0.29245283018867924,0.4413137377108344,0.4811320754716981
2024,RV1,LOWER,366,108,0.29508196721311475,0.5929827615638854,0.26851851851851855,0.5761723367591665,0.5925925925925926
2025,MID,UPPER,365,178,0.4876712328767123,0.7696331937135277,0.21910112359550563,0.7761725648105828,0.5056179775280899
2025,MID,LOWER,365,174,0.4767123287671233,1.1365683959895887,0.13793103448275862,0.954482097152618,0.5402298850574713
2025,WALL,UPPER,365,79,0.21643835616438356,0.41632899545584173,0.3291139240506329,0.5352191499920627,0.5316455696202531
2025,WALL,LOWER,365,72,0.19726027397260273,0.4139831754670218,0.2916666666666667,0.45742632519529225,0.5972222222222222
2025,EXTREME,UPPER,365,23,0.06301369863013699,0.40806822757554456,0.43478260869565216,0.30296971460170713,0.5652173913043478
2025,EXTREME,LOWER,365,26,0.07123287671232877,0.32129355428867357,0.38461538461538464,0.3986857800158512,0.6538461538461539
2025,RV1,UPPER,365,107,0.29315068493150687,0.48790277427214696,0.2803738317757009,0.6058822951196681,0.5514018691588785
2025,RV1,LOWER,365,116,0.3178082191780822,0.5071983305445096,0.3017241379310345,0.5242829687368145,0.6120689655172413
2026,MID,UPPER,238,113,0.47478991596638653,0.9029148430640033,0.168141592920354,0.875736606387318,0.504424778761062
2026,MID,LOWER,238,105,0.4411764705882353,0.8842306333998017,0.18095238095238095,0.7593946858473579,0.47619047619047616
2026,WALL,UPPER,238,47,0.19747899159663865,0.5197229201333694,0.3191489361702128,0.42303323379551955,0.5106382978723404
2026,WALL,LOWER,238,40,0.16806722689075632,0.36524436601323185,0.275,0.7615323182943272,0.675
2026,EXTREME,UPPER,238,14,0.058823529411764705,0.5366867056577631,0.14285714285714285,0.4288635942603519,0.2857142857142857
2026,EXTREME,LOWER,238,16,0.06722689075630252,0.429148650495644,0.4375,0.4753504644400973,0.5625
2026,RV1,UPPER,238,70,0.29411764705882354,0.6449886347483209,0.2714285714285714,0.5380563473115443,0.5428571428571428
2026,RV1,LOWER,238,79,0.3319327731092437,0.6060618153058104,0.25316455696202533,0.6098156472176625,0.6075949367088608
