period,family,side,sessions,touch_n,touch_rate,median_touch_min,median_overshoot_norm,near_extreme25_rate,near_extreme50_rate,median_reaction_norm,close_back_inside_rate,continued_to_next_rate
DEV,MID,UPPER,1096,540,0.4927007299270073,450.0,0.864053871557083,0.17962962962962964,0.3388888888888889,0.9758706194437188,0.5055555555555555,0.43148148148148147
DEV,MID,LOWER,1096,544,0.49635036496350365,432.5,0.9051058171299147,0.19117647058823528,0.33455882352941174,0.928525404421816,0.5625,0.4430147058823529
DEV,WALL,UPPER,1096,233,0.2125912408759124,660.0,0.4837238775707294,0.2832618025751073,0.5064377682403434,0.49425422150696185,0.51931330472103,0.33047210300429186
DEV,WALL,LOWER,1096,241,0.2198905109489051,825.0,0.47803597262765346,0.2821576763485477,0.5145228215767634,0.5152422523362002,0.5933609958506224,0.26141078838174275
DEV,EXTREME,UPPER,1096,77,0.07025547445255474,790.0,0.33092404670045955,0.4025974025974026,0.6753246753246753,0.40992282700101057,0.5064935064935064,
DEV,EXTREME,LOWER,1096,63,0.05748175182481752,825.0,0.41309751196693906,0.4126984126984127,0.5238095238095238,0.45502359622679034,0.5873015873015873,
DEV,RV1,UPPER,1096,307,0.2801094890510949,605.0,0.6110918551626799,0.2768729641693811,0.43322475570032576,0.5858213657912537,0.4755700325732899,
DEV,RV1,LOWER,1096,327,0.2983576642335766,715.0,0.6245990277502594,0.24770642201834864,0.43119266055045874,0.5953261380231387,0.5596330275229358,
REF,MID,UPPER,603,291,0.48258706467661694,495.0,0.8298260344106411,0.19931271477663232,0.3470790378006873,0.8328821576448588,0.5051546391752577,0.4329896907216495
REF,MID,LOWER,603,279,0.4626865671641791,495.0,0.9740492787526783,0.15412186379928317,0.27956989247311825,0.8452050019072992,0.5161290322580645,0.4014336917562724
REF,WALL,UPPER,603,126,0.208955223880597,775.0,0.4388862076236281,0.3253968253968254,0.5555555555555556,0.46638892116045083,0.5238095238095238,0.29365079365079366
REF,WALL,LOWER,603,112,0.1857379767827529,762.5,0.3703921018741443,0.2857142857142857,0.5714285714285714,0.5284702109699859,0.625,0.375
REF,EXTREME,UPPER,603,37,0.06135986733001658,900.0,0.47225739198246824,0.32432432432432434,0.5135135135135135,0.38136478263882745,0.4594594594594595,
REF,EXTREME,LOWER,603,42,0.06965174129353234,922.5,0.328701617610863,0.40476190476190477,0.6190476190476191,0.3986857800158512,0.6190476190476191,
REF,RV1,UPPER,603,177,0.2935323383084577,780.0,0.5319149475233164,0.2768361581920904,0.4858757062146893,0.5769858919596457,0.5480225988700564,
REF,RV1,LOWER,603,195,0.32338308457711445,710.0,0.5265907228433684,0.28205128205128205,0.4717948717948718,0.5590824905855699,0.6102564102564103,
ALL,MID,UPPER,1699,831,0.4891112419070041,465.0,0.8475963158890245,0.1865222623345367,0.3417569193742479,0.9215225432352732,0.5054151624548736,0.43200962695547535
ALL,MID,LOWER,1699,823,0.48440258975868156,445.0,0.949037061038346,0.17861482381530985,0.3159173754556501,0.8981534245973587,0.5467800729040098,0.4289185905224787
ALL,WALL,UPPER,1699,359,0.2113007651559741,705.0,0.45843685944341583,0.298050139275766,0.5236768802228412,0.4845528872352785,0.520891364902507,0.31754874651810583
ALL,WALL,LOWER,1699,353,0.2077692760447322,805.0,0.4648528963056433,0.28328611898017,0.5325779036827195,0.5237537856338289,0.603399433427762,0.29745042492917845
ALL,EXTREME,UPPER,1699,114,0.06709829311359623,820.0,0.3581782310742828,0.37719298245614036,0.6228070175438597,0.38595194268216104,0.49122807017543857,
ALL,EXTREME,LOWER,1699,105,0.06180105944673337,900.0,0.36697517593979156,0.4095238095238095,0.5619047619047619,0.4107865620949181,0.6,
ALL,RV1,UPPER,1699,484,0.28487345497351385,680.0,0.5839347466017131,0.2768595041322314,0.4524793388429752,0.5852289796578667,0.5020661157024794,
ALL,RV1,LOWER,1699,522,0.3072395526780459,712.5,0.6006090131441835,0.26053639846743293,0.446360153256705,0.5861255536295493,0.578544061302682,
