family,side,dev_n,dev_ne25_delta_pp,dev_overshoot_delta,ref_n,ref_ne25_delta_pp,ref_overshoot_delta,decision_point_supported
WALL,UPPER,233,10.363217294547766,-0.38032999398635364,126,12.608411062019309,-0.39093982678701295,True
WALL,LOWER,241,9.098120576031244,-0.4270698445022612,112,13.159242191500253,-0.603657176878534,True
EXTREME,UPPER,77,22.296777296777297,-0.5331298248566234,37,12.501160954769203,-0.3575686424281728,False
EXTREME,LOWER,63,22.15219421101774,-0.4920083051629756,42,25.06400409626216,-0.6453476611418154,False
RV1,UPPER,307,9.724333453975149,-0.2529620163944031,177,7.752344341545808,-0.2979110868873247,True
RV1,LOWER,327,5.652995143011336,-0.28050678937965523,195,12.792941825199888,-0.44745855590930994,True
