transition,count
EXPANSION_CONFIRMED->EXPANSION_REFRESHED,22952
EXPANSION_CONFIRMED->RETEST_EVALUATED,246
RETEST_EVALUATED->PARENT_DETECTED,216
RETEST_EVALUATED->TERMINAL_REJECT,110
WAIT_EXPANSION->EXPANSION_CONFIRMED,261
WAIT_EXPANSION->RETEST_EVALUATED,80
WAIT_H4_STRUCTURE->DEMAND_REGISTERED,341
