period,eligible,tp2_before_sl,tp2_before_sl_rate,tp2_before_be,tp2_before_be_rate,median_tp1_r,median_tp2_r,median_extension_gap_r
DEV,288,241,0.8368055555555556,178,0.6180555555555556,0.1995970038733238,0.44711049468333597,0.12184510703934905
REF,178,162,0.9101123595505618,115,0.6460674157303371,0.15547076632101975,0.35047634250223325,0.104583333333336
