period,state,eligible,continuation_total,signals,signal_coverage,tp2_before_signal,tp2_success_after_signal,success_rate_after_signal,tp2_before_be_after_signal,strict_success_rate,false_signals,continuations_captured_including_pre_signal,continuation_capture_rate,continuations_missed,median_signal_delay_min,median_extension_gap_r_signaled
DEV,ACCEPT,288,241,80,0.2777777777777778,107,60,0.75,35,0.4375,20,167,0.6929460580912863,74,0.0,0.28919845873736116
DEV,ACCEPT_HOLD,288,241,41,0.1423611111111111,135,25,0.6097560975609756,16,0.3902439024390244,16,160,0.6639004149377593,81,5.0,0.41095890410959207
DEV,ACCEPT_HOLD_BREAK,288,241,8,0.027777777777777776,80,5,0.625,4,0.5,3,85,0.35269709543568467,156,10.0,0.7974657125819902
DEV,RECLAIM_HOLD_BREAK,288,241,36,0.125,217,25,0.6944444444444444,18,0.5,11,241,1.0,0,45.0,0.5896675375650678
REF,ACCEPT,178,162,39,0.21910112359550563,65,34,0.8717948717948718,22,0.5641025641025641,5,99,0.6111111111111112,63,0.0,0.2519872813990443
REF,ACCEPT_HOLD,178,162,19,0.10674157303370786,84,15,0.7894736842105263,9,0.47368421052631576,4,99,0.6111111111111112,63,5.0,0.3137254901960216
REF,ACCEPT_HOLD_BREAK,178,162,5,0.028089887640449437,62,5,1.0,3,0.6,0,67,0.41358024691358025,95,10.0,0.35439560439558465
REF,RECLAIM_HOLD_BREAK,178,162,20,0.11235955056179775,143,19,0.95,15,0.75,1,162,1.0,0,35.0,0.4399865810756802
