period,outcome,n,median_sl_pct,median_tp_pct,median_tp1_r,mean_sl_pct,mean_tp_pct,mean_tp1_r
DEV,WIN,325,0.011480764961466508,0.0023439164713402387,0.22391857506361168,0.014573042188919602,0.004123318826821171,0.4009599084314248
DEV,LOSS,115,0.009340148698884717,0.0056224345486530145,0.5609756097561119,0.012294981250461858,0.00665788064059766,0.727220191941413
REF,WIN,201,0.008876235136493164,0.0019262480482146454,0.1827079934747154,0.02612507865080548,0.003085941271983064,0.3506499710164989
REF,LOSS,71,0.006221027417325844,0.0050735341339669384,0.6407185628742413,0.008100160929496256,0.005541504953912936,0.7957335740430173
