period,candidate,all_e2_plans,traded,wins,losses,wr,expectancy_per_all_e2,total_r,expectancy_per_traded
DEV,MARKET_BREAK_CLOSE,440,440,325,115,0.7386363636363636,0.0347999323641206,15.311970240213064,0.0347999323641206
DEV,LIMIT_BREAK_LEVEL_RETEST,440,392,277,115,0.7066326530612245,0.028156160441440196,12.388710594233686,0.031603853556718575
DEV,LIMIT_HOLD_CLOSE_RETEST,440,369,255,114,0.6910569105691057,0.023505961813135724,10.34262319777972,0.02802878915387459
DEV,LIMIT_RECLAIM_CLOSE_RETEST,440,363,250,113,0.6887052341597796,0.029189145360110403,12.843223958448577,0.03538078225467927
DEV,LIMIT_DEMAND_HIGH_RETEST,440,354,243,111,0.6864406779661016,0.023616066693580445,10.391069345175396,0.02935330323495874
REF,MARKET_BREAK_CLOSE,272,272,201,71,0.7389705882352942,-0.001909396417954832,-0.5193558256837143,-0.001909396417954832
REF,LIMIT_BREAK_LEVEL_RETEST,272,255,184,71,0.7215686274509804,0.0045492628819196815,1.2373995038821533,0.004852547074047665
REF,LIMIT_HOLD_CLOSE_RETEST,272,246,175,71,0.7113821138211383,0.00634479075358294,1.7257830849745597,0.007015378394205511
REF,LIMIT_RECLAIM_CLOSE_RETEST,272,231,160,71,0.6926406926406926,-0.01160609600691506,-3.1568581138808964,-0.013666052441042851
REF,LIMIT_DEMAND_HIGH_RETEST,272,228,159,69,0.6973684210526315,-0.0010518572859503606,-0.2861051817784981,-0.0012548472885021787
