period,candidate,population,available,availability_rate,filled,fill_rate_available,resolved,wins,losses,wr,median_win_r,expectancy_r_filled,total_r_filled,pf,max_dd_r,max_loss_streak,median_entry_improvement_pct,median_risk_compression,baseline_wins_available,baseline_wins_filled,baseline_wins_retained_win,baseline_wins_missed_nofill,baseline_wins_became_loss,baseline_losses_available,baseline_losses_filled,baseline_losses_avoided_nofill,baseline_losses_became_win,ambiguous_fill_bar,ambiguous_after_fill
DEV,MARKET_BREAK_CLOSE,110,110,1.0,110,1.0,110,87,23,0.7909090909090909,0.08810267082899834,-0.06883725702788532,-7.572098273067385,0.670778335953592,8.879203639696815,3,0.0,0.0,87,87,87,0,0,23,23,0,0,0,0
DEV,LIMIT_BREAK_LEVEL_RETEST,110,110,1.0,62,0.5636363636363636,62,39,23,0.6290322580645161,0.2608125819135007,-0.16927996643623813,-10.495357919046764,0.5436800904762277,11.017976068838767,4,0.0022816688352118772,0.08034314025610773,87,39,39,41,0,23,23,0,0,7,0
DEV,LIMIT_HOLD_CLOSE_RETEST,110,110,1.0,39,0.35454545454545455,39,17,22,0.4358974358974359,0.5144665461121154,-0.321575520910275,-12.541445315500725,0.42993430384087605,13.19553951131859,4,0.008063589797032996,0.352401690625763,87,17,17,69,0,23,22,0,0,2,0
DEV,LIMIT_RECLAIM_CLOSE_RETEST,110,110,1.0,33,0.3,33,12,21,0.36363636363636365,0.7262989825904713,-0.3042680168130871,-10.040844554831875,0.5218645450080059,11.421717733509103,4,0.010932651533060798,0.46339334021936784,87,12,12,75,0,23,21,0,0,2,0
DEV,LIMIT_DEMAND_HIGH_RETEST,110,110,1.0,24,0.21818181818181817,24,5,19,0.20833333333333334,1.342434584755387,-0.5205416320043772,-12.492999168105053,0.34247372799447084,12.775827450933368,7,0.016739254182586247,0.7287759643916918,87,5,5,82,0,23,19,0,0,4,0
REF,MARKET_BREAK_CLOSE,50,50,1.0,50,1.0,50,44,6,0.88,0.03804851721395269,-0.03153262966901329,-1.5766314834506643,0.737228086091556,3.3322253749311606,2,0.0,0.0,44,44,44,0,0,6,6,0,0,0,0
REF,LIMIT_BREAK_LEVEL_RETEST,50,50,1.0,33,0.66,33,27,6,0.8181818181818182,0.10600000000000212,0.005458298367127313,0.18012384611520132,1.0300206410192003,2.7593755176214825,2,0.003554261576702984,0.0763292486410666,44,27,27,13,0,6,6,0,0,4,0
REF,LIMIT_HOLD_CLOSE_RETEST,50,50,1.0,24,0.48,24,18,6,0.75,0.16716614282581685,0.02785447613365018,0.6685074272076044,1.1114179045346007,3.4806739345887023,3,0.007655490235319107,0.27968098688726184,44,18,18,26,0,6,6,0,0,0,0
REF,LIMIT_RECLAIM_CLOSE_RETEST,50,50,1.0,9,0.18,9,3,6,0.3333333333333333,0.46107055961069965,-0.4682370857386498,-4.214133771647848,0.2976443713920252,4.611114233459561,4,0.01276910174630988,0.486358244365362,44,3,3,41,0,6,6,0,0,0,0
REF,LIMIT_DEMAND_HIGH_RETEST,50,50,1.0,6,0.12,6,2,4,0.3333333333333333,1.3283095802272753,-0.2238968065909082,-1.3433808395454492,0.6641547901136376,3.0,3,0.016400395416778436,0.6738892440692728,44,2,2,42,0,6,4,0,0,2,0
