year,candidate,population,available,availability_rate,filled,fill_rate_available,resolved,wins,losses,wr,median_win_r,expectancy_r_filled,total_r_filled,pf,max_dd_r,max_loss_streak,median_entry_improvement_pct,median_risk_compression,baseline_wins_available,baseline_wins_filled,baseline_wins_retained_win,baseline_wins_missed_nofill,baseline_wins_became_loss,baseline_losses_available,baseline_losses_filled,baseline_losses_avoided_nofill,baseline_losses_became_win,ambiguous_fill_bar,ambiguous_after_fill
2022,MARKET_BREAK_CLOSE,45,45,1.0,45,1.0,45,34,11,0.7555555555555555,0.1704285933616729,-0.02211899079596314,-0.9953545858183414,0.90951321947106,5.3328618463013555,3,0.0,0.0,34,34,34,0,0,11,11,0,0,0,0
2022,LIMIT_BREAK_LEVEL_RETEST,45,45,1.0,27,0.6,27,16,11,0.5925925925925926,0.30876068376068044,-0.13449557537812531,-3.6313805352093835,0.6698744967991469,5.549763769839328,4,0.0035165906479579087,0.12928348909657483,34,16,16,16,0,11,11,0,0,2,0
2022,LIMIT_HOLD_CLOSE_RETEST,45,45,1.0,20,0.4444444444444444,20,9,11,0.45,0.46467391304348316,-0.3458418839793725,-6.9168376795874495,0.37119657458295924,7.381511592630932,4,0.0072733723611849675,0.3485915492957742,34,9,9,25,0,11,11,0,0,0,0
2022,LIMIT_RECLAIM_CLOSE_RETEST,45,45,1.0,17,0.37777777777777777,17,7,10,0.4117647058823529,1.0103092783505296,-0.15890172935064376,-2.7013293989609437,0.7298670601039057,4.760659015823343,4,0.010523301596391935,0.44938271604937974,34,7,7,27,0,11,10,0,0,1,0
2022,LIMIT_DEMAND_HIGH_RETEST,45,45,1.0,11,0.24444444444444444,11,2,9,0.18181818181818182,1.433002043115482,-0.5576359921608214,-6.133995913769035,0.3184448984701071,7.0,7,0.01625490121435906,0.7225519287833855,34,2,2,32,0,11,9,0,0,2,0
2023,MARKET_BREAK_CLOSE,31,31,1.0,31,1.0,31,28,3,0.9032258064516129,0.026842096604753354,-0.03728954413804282,-1.1559758682793275,0.6146747105735575,2.007313262409729,1,0.0,0.0,28,28,28,0,0,3,3,0,0,0,0
2023,LIMIT_BREAK_LEVEL_RETEST,31,31,1.0,14,0.45161290322580644,14,11,3,0.7857142857142857,0.0995934959349551,-0.08581084120137876,-1.2013517768193027,0.599549407726899,2.0682457721929763,1,0.0011813349084464776,0.05769230769230993,28,11,11,13,0,3,3,0,0,4,0
2023,LIMIT_HOLD_CLOSE_RETEST,31,31,1.0,4,0.12903225806451613,4,2,2,0.5,0.5526250733908138,-0.22368746330459308,-0.8947498532183723,0.5526250733908138,1.5258799171842592,1,0.008263319849255067,0.39373970345964515,28,2,2,25,0,3,2,0,0,2,0
2023,LIMIT_RECLAIM_CLOSE_RETEST,31,31,1.0,3,0.0967741935483871,3,1,2,0.3333333333333333,0.5028328611898032,-0.4990557129367323,-1.4971671388101968,0.2514164305949016,2.0,2,0.010469512392154356,0.4654320987654301,28,1,1,27,0,3,2,0,0,1,0
2023,LIMIT_DEMAND_HIGH_RETEST,31,31,1.0,1,0.03225806451612903,1,0,1,0.0,,-1.0,-1.0,0.0,1.0,1,0.016804492990757453,0.7769080234833636,28,0,0,28,0,3,1,0,0,2,0
2024,MARKET_BREAK_CLOSE,34,34,1.0,34,1.0,34,25,9,0.7352941176470589,0.058431952662719285,-0.1594343476167564,-5.4207678189697175,0.3976924645589204,5.939969260863446,2,0.0,0.0,25,25,25,0,0,9,9,0,0,0,0
2024,LIMIT_BREAK_LEVEL_RETEST,34,34,1.0,21,0.6176470588235294,21,12,9,0.5714285714285714,0.24273366410083602,-0.2696488384294322,-5.662625607018076,0.37081937699799156,6.127920261640567,2,0.0021411400774877147,0.058333426628348506,25,12,12,12,0,9,9,0,0,1,0
2024,LIMIT_HOLD_CLOSE_RETEST,34,34,1.0,15,0.4411764705882353,15,6,9,0.4,0.6870782021079977,-0.3153238521796604,-4.729857782694906,0.47446024636723255,5.383951978512769,4,0.008850951162404825,0.349601497508997,25,6,6,19,0,9,9,0,0,0,0
2024,LIMIT_RECLAIM_CLOSE_RETEST,34,34,1.0,13,0.38235294117647056,13,4,9,0.3076923076923077,0.7123967992639761,-0.44941138592774876,-5.842348017060734,0.3508502203265851,6.601284010410692,4,0.012080822580322895,0.46446724517455157,25,4,4,21,0,9,9,0,0,0,0
2024,LIMIT_DEMAND_HIGH_RETEST,34,34,1.0,12,0.35294117647058826,12,3,9,0.25,1.342434584755387,-0.44658360452800144,-5.3590032543360175,0.4045551939626647,5.3590032543360175,4,0.016690082015670352,0.6874170645563478,25,3,3,22,0,9,9,0,0,0,0
2025,MARKET_BREAK_CLOSE,39,39,1.0,39,1.0,39,35,4,0.8974358974358975,0.03769230769230839,-0.02226951904286848,-0.8685112426718707,0.7828721893320324,3.3322253749311606,2,0.0,0.0,35,35,35,0,0,4,4,0,0,0,0
2025,LIMIT_BREAK_LEVEL_RETEST,39,39,1.0,26,0.6666666666666666,26,22,4,0.8461538461538461,0.08154920393234358,0.002699607255965496,0.07018978865510289,1.0175474471637758,2.7593755176214825,2,0.0037543748011454603,0.07096171802054041,35,22,22,11,0,4,4,0,0,2,0
2025,LIMIT_HOLD_CLOSE_RETEST,39,39,1.0,19,0.48717948717948717,19,15,4,0.7894736842105263,0.16716614282581685,0.005766926727864245,0.10957160782942066,1.027392901957355,3.4806739345887023,3,0.008493254374638224,0.24588938714498987,35,15,15,20,0,4,4,0,0,0,0
2025,LIMIT_RECLAIM_CLOSE_RETEST,39,39,1.0,5,0.1282051282051282,5,1,4,0.2,0.46107055961069965,-0.7077858880778601,-3.5389294403893006,0.11526763990267491,4.0,4,0.012931188242428567,0.486358244365362,35,1,1,34,0,4,4,0,0,0,0
