period,policy,n,runner_n,runner_rate,target_hits,protection_exits,catastrophic_exits,unresolved,samebar_stop_first,positive_n,negative_n,zero_n,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_realized_r,median_protection_r,mean_protection_r,delta_vs_fixed_t1_mean_r,delta_vs_matching_base_mean_r,delta_vs_matching_base_total_r,true_continuations,continuation_retained,continuation_cut,continuation_retention_rate,giveback_protection_exits,median_giveback_protection_r,median_giveback_improvement_r,nonpos_to_positive
DEV,BASE_XP1_T15_UNPROTECTED,286,71,0.24825174825174826,151,0,104,31,0,151,104,31,-0.0026184988461730807,-0.7488906700055011,0.994569943920258,22.435295338425412,5,0.5441210446442806,,,0.012116748023390484,0.026150427725070955,7.479022329370293,137,137,0,1.0,0,,,0
DEV,PROTECT_T05_TOUCH_T15,286,71,0.24825174825174826,129,34,94,29,1,163,94,29,-0.010930407001703136,-3.1260964024870965,0.9750069241097559,25.04314031642948,5,0.25824469813487533,0.23495888315165572,0.2555183925172984,0.0038048398678604454,-0.008311908155530047,-2.3772057324815936,151,129,22,0.8543046357615894,12,0.24904162923031678,1.5359589018921271,12
DEV,PROTECT_ANCHOR_TOUCH_T15,286,71,0.24825174825174826,146,16,94,30,0,146,110,30,0.015015802363475881,4.294519475954102,1.0336593561759166,22.958121176110872,5,0.48162028189201855,-0.1673055805131205,-0.156824428457071,0.029751049233039454,0.01763430120964897,5.043410145959605,151,146,5,0.9668874172185431,11,-0.15471698113206478,1.1288088642659542,0
DEV,PROTECT_HL5_TOUCH_T15,286,71,0.24825174825174826,128,31,98,29,0,159,98,29,-0.005841893747998055,-1.6707816119274437,0.9871846505518429,22.72767578017651,5,0.4726688752424031,0.5346260387811718,0.5587282606148127,0.00889335312156551,-0.003223394901824977,-0.9218909419219434,151,128,23,0.847682119205298,8,0.4784241305016941,1.5785971881043475,8
DEV,BASE_XP1_T2_UNPROTECTED,286,71,0.24825174825174826,137,0,110,39,0,137,110,39,-0.028768926571244035,-8.227912999375794,0.9444557849504429,27.086030849706532,7,0.0,,,-0.014033679701680464,0.0,0.0,137,137,0,1.0,0,,,0
DEV,PROTECT_T05_TOUCH_T2,286,71,0.24825174825174826,118,42,94,32,0,160,94,32,-0.006989914224469212,-1.9991154681981946,0.9840171133013405,25.913130595877305,5,0.22120600726964074,0.2427118880144875,0.26002990617614963,0.007745332645094366,0.021779012346774835,6.2287975311776025,137,118,19,0.8613138686131386,23,0.3038461538461573,1.3696078431372558,23
DEV,PROTECT_ANCHOR_TOUCH_T2,286,71,0.24825174825174826,128,29,94,35,0,128,123,35,-0.009637748922296095,-2.756396191776683,0.9787249771267401,25.61620575080464,7,0.0,-0.15471698113206478,-0.15454139158882788,0.0050974979472674835,0.019131177648947943,5.471516807599111,137,128,9,0.9343065693430657,20,-0.12973052649969613,1.0263743128435399,0
DEV,PROTECT_HL5_TOUCH_T2,286,71,0.24825174825174826,112,44,100,30,0,156,100,30,-0.014769313461132035,-4.224023649883762,0.9682026890722598,22.49953298522939,7,0.42815854665565484,0.5687696641545283,0.5844773617213019,-3.406659156845006e-05,0.013999613110112002,4.003889349492033,137,112,25,0.8175182481751825,19,0.5346260387811718,1.380453752181491,19
REF,BASE_XP1_T15_UNPROTECTED,160,46,0.2875,88,0,54,18,0,88,54,18,0.10414146030743787,16.66263364919006,1.252378393161557,9.194964447553449,4,0.7262641955053533,,,-0.030558511083473065,-0.016042324581087255,-2.566771932973961,83,83,0,1.0,0,,,0
REF,PROTECT_T05_TOUCH_T15,160,46,0.2875,77,22,44,17,0,99,44,17,0.1399422303196674,22.390756851146783,1.4097176859393756,8.855175069056298,3,0.42340864020165503,0.2994861587543636,0.2760992973553539,0.005242258928756436,0.0358007700122295,5.72812320195672,88,77,11,0.875,11,0.3227272727272826,1.4889848812095086,11
REF,PROTECT_ANCHOR_TOUCH_T15,160,46,0.2875,79,20,44,17,0,79,64,17,0.09810164694815511,15.696263511704817,1.2719907152915484,11.679555161908453,5,0.0,-0.13367589416375553,-0.15297945442264788,-0.03659832444275584,-0.006039813359282773,-0.9663701374852436,88,79,9,0.8977272727272727,11,-0.1181818181818116,1.0398671096345138,0
REF,PROTECT_HL5_TOUCH_T15,160,46,0.2875,70,25,48,17,0,95,48,17,0.12118901783132788,19.39024285301246,1.3277873948120222,9.114923719383292,3,0.557495133030504,0.48127753303965193,0.5860094827562474,-0.013510953559583075,0.017047557523889985,2.7276092038223974,88,70,18,0.7954545454545454,7,0.7461066540821097,1.7725342142519986,7
REF,BASE_XP1_T2_UNPROTECTED,160,46,0.2875,83,0,57,20,0,83,57,20,0.12018378488852513,19.22940558216402,1.27199382054323,14.274712911437172,4,0.6428106346414508,,,-0.014516186502385805,0.0,0.0,83,83,0,1.0,0,,,0
