period,side,character,n,share,median_penetration_obs,median_inward_obs,n60,median_signed60,n180,median_signed180,median_max_inward_post,median_max_outward_post,inward_dominance_rate,equilibrium_rate,extreme_rate,close_inside_rate
REF,UPPER,C3_ACCEPTANCE_HOLD,49,0.3888888888888889,0.3107280271065427,0.16285621385617172,46,-0.14296330680090247,43,-0.06837684072817546,0.3354233720693,0.6695611451112884,0.32653061224489793,0.16326530612244897,0.40816326530612246,0.40816326530612246
REF,UPPER,C4_UNSETTLED_BREAK,14,0.1111111111111111,0.06737941306803652,0.11479738461545494,13,0.023158002415889528,12,-0.0801320968621347,0.2052255181497907,0.33739708833724996,0.5,0.21428571428571427,0.21428571428571427,0.5
REF,LOWER,C1_CLEAN_REJECTION,36,0.32142857142857145,0.03447929338940944,0.2739932376222617,33,0.21978269738774286,32,0.17087542187204038,0.8015009170348857,0.28025076275742034,0.6944444444444444,0.25,0.25,0.6388888888888888
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,27,0.24107142857142858,0.12299804320325954,0.2053352706055337,27,0.1430660320783203,27,0.17046743121071556,0.783064198019129,0.3124354651660194,0.6666666666666666,0.4074074074074074,0.2222222222222222,0.7037037037037037
REF,LOWER,C3_ACCEPTANCE_HOLD,36,0.32142857142857145,0.25656457443708164,0.14895301775733122,35,-0.05192604755181187,34,0.01822178307624658,0.33261514388380553,0.7865682777471046,0.3333333333333333,0.16666666666666666,0.5,0.5
REF,LOWER,C4_UNSETTLED_BREAK,13,0.11607142857142858,0.10164944989841107,0.10355815694229793,13,-0.13407829456886278,13,0.025097665699434384,0.37995621966853105,0.639597855787582,0.38461538461538464,0.15384615384615385,0.5384615384615384,0.6923076923076923
ALL,UPPER,C1_CLEAN_REJECTION,121,0.3389355742296919,0.034222054287953864,0.23285752700494272,116,0.15147089846659872,111,0.2546975181906491,0.6116676422882888,0.22957768551551924,0.7272727272727273,0.30578512396694213,0.18181818181818182,0.7107438016528925
ALL,UPPER,C2_RECLAIM_AFTER_CLOSE,76,0.21288515406162464,0.10832498824432339,0.14949996936222854,75,0.02039860707317883,67,0.042036929618201206,0.4489854674665337,0.387165658179236,0.5263157894736842,0.19736842105263158,0.25,0.47368421052631576
ALL,UPPER,C3_ACCEPTANCE_HOLD,133,0.37254901960784315,0.3351628485968127,0.160153937954141,129,-0.18036860778084562,124,-0.1365806852727463,0.3271685164966096,0.8024051932577542,0.3233082706766917,0.18796992481203006,0.48120300751879697,0.37593984962406013
ALL,UPPER,C4_UNSETTLED_BREAK,27,0.07563025210084033,0.07643954594485075,0.12613194505136996,26,-0.013362488690383569,23,-0.024688322025949457,0.26322073332827434,0.30497894702875605,0.5185185185185185,0.18518518518518517,0.2222222222222222,0.5185185185185185
ALL,LOWER,C1_CLEAN_REJECTION,125,0.3561253561253561,0.05472687242974719,0.26262329309661425,120,0.2157002057933225,113,0.21100744091609736,0.6212143498692155,0.2568669627576124,0.696,0.232,0.168,0.688
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,76,0.21652421652421652,0.14270960795120438,0.2089339298771948,75,0.1498724415467583,69,0.19470687359230202,0.5937014186712903,0.33575298776977386,0.631578947368421,0.2894736842105263,0.2236842105263158,0.6842105263157895
ALL,LOWER,C3_ACCEPTANCE_HOLD,112,0.3190883190883191,0.2958046290032995,0.16042510901504853,108,-0.06107898592579923,102,-0.056886003778302344,0.33619657154980515,0.7354011667308163,0.3482142857142857,0.1875,0.4107142857142857,0.45535714285714285
ALL,LOWER,C4_UNSETTLED_BREAK,38,0.10826210826210826,0.11758604000687384,0.18239325975109855,37,-0.10872031034075755,35,-0.04261027941361173,0.38152691872314237,0.6415104132387787,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.5789473684210527
