period,side,character,n,share,median_penetration_obs,median_inward_obs,n60,median_signed60,n180,median_signed180,median_max_inward_post,median_max_outward_post,inward_dominance_rate,equilibrium_rate,extreme_rate,close_inside_rate
DEV,UPPER,C1_CLEAN_REJECTION,88,0.38095238095238093,0.0372064836197719,0.23242103082173277,83,0.13225782335929856,79,0.2221669403360869,0.6107655522432474,0.2478642485123542,0.7045454545454546,0.2840909090909091,0.19318181818181818,0.6931818181818182
DEV,UPPER,C2_RECLAIM_AFTER_CLOSE,46,0.19913419913419914,0.11107666495759512,0.16429278412767334,45,0.05615381111290968,40,0.09167309744779897,0.43349924535902107,0.387165658179236,0.5217391304347826,0.2391304347826087,0.2391304347826087,0.4782608695652174
DEV,UPPER,C3_ACCEPTANCE_HOLD,84,0.36363636363636365,0.3439645987140679,0.16007135427293911,83,-0.21897690893426255,81,-0.17058893218544055,0.28829107347220145,0.8489436232801122,0.32142857142857145,0.20238095238095238,0.5238095238095238,0.35714285714285715
DEV,UPPER,C4_UNSETTLED_BREAK,13,0.05627705627705628,0.11489646940827214,0.17008852265347996,13,-0.04683063304561436,11,-0.024688322025949457,0.28350258893766944,0.27256763308371523,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.5384615384615384
DEV,LOWER,C1_CLEAN_REJECTION,89,0.3723849372384937,0.05889703948321514,0.25742159905295575,87,0.2116177141989021,81,0.24080233688265426,0.565196457452194,0.2506390961695754,0.6966292134831461,0.2247191011235955,0.1348314606741573,0.7078651685393258
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,49,0.20502092050209206,0.15510349896669273,0.21466815701798095,48,0.15312062065425364,42,0.2264881991694353,0.5540137781785687,0.3585433179070759,0.6122448979591837,0.22448979591836735,0.22448979591836735,0.673469387755102
DEV,LOWER,C3_ACCEPTANCE_HOLD,76,0.3179916317991632,0.3310365449308405,0.1652459139266525,73,-0.08597600058586789,68,-0.09074279216747523,0.33619657154980515,0.7100377352300146,0.35526315789473684,0.19736842105263158,0.3684210526315789,0.4342105263157895
DEV,LOWER,C4_UNSETTLED_BREAK,25,0.10460251046025104,0.1524446366109217,0.19676629115257704,24,-0.07288766622580589,22,-0.057700665736259565,0.38309761777775375,0.6434229706899753,0.44,0.24,0.28,0.52
REF,UPPER,C1_CLEAN_REJECTION,33,0.2619047619047619,0.030385766993917904,0.2420585837599031,33,0.2000311416836882,32,0.28720296201639434,0.6525636453093957,0.12384378299830308,0.7878787878787878,0.36363636363636365,0.15151515151515152,0.7575757575757576
REF,UPPER,C2_RECLAIM_AFTER_CLOSE,30,0.23809523809523808,0.10455664411648134,0.13126419845368065,30,-0.06477901615685973,27,-0.045707309659379754,0.485663159301833,0.3859975572489597,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.4666666666666667
