year,side,character,n,share,median_signed180,inward_dominance_rate,equilibrium_rate,extreme_rate
2022,UPPER,C1_CLEAN_REJECTION,26,0.35135135135135137,0.2221669403360869,0.7307692307692307,0.15384615384615385,0.19230769230769232
2022,UPPER,C2_RECLAIM_AFTER_CLOSE,14,0.1891891891891892,0.2180786223916464,0.6428571428571429,0.21428571428571427,0.14285714285714285
2022,UPPER,C3_ACCEPTANCE_HOLD,27,0.36486486486486486,-0.35333414409561,0.2222222222222222,0.14814814814814814,0.6666666666666666
2022,UPPER,C4_UNSETTLED_BREAK,7,0.0945945945945946,0.11426410584001939,0.7142857142857143,0.0,0.14285714285714285
2022,LOWER,C1_CLEAN_REJECTION,35,0.43209876543209874,0.08766201670487087,0.6285714285714286,0.2,0.11428571428571428
2022,LOWER,C2_RECLAIM_AFTER_CLOSE,13,0.16049382716049382,0.09676594090539985,0.6153846153846154,0.3076923076923077,0.23076923076923078
2022,LOWER,C3_ACCEPTANCE_HOLD,26,0.32098765432098764,-0.12967086062667238,0.3076923076923077,0.23076923076923078,0.46153846153846156
2022,LOWER,C4_UNSETTLED_BREAK,7,0.08641975308641975,-0.21524029469442604,0.2857142857142857,0.2857142857142857,0.2857142857142857
2023,UPPER,C1_CLEAN_REJECTION,37,0.4625,0.2736676595525979,0.6756756756756757,0.40540540540540543,0.1891891891891892
2023,UPPER,C2_RECLAIM_AFTER_CLOSE,16,0.2,-0.009946645515562944,0.4375,0.25,0.3125
2023,UPPER,C3_ACCEPTANCE_HOLD,23,0.2875,-0.3101275852679096,0.34782608695652173,0.2608695652173913,0.5652173913043478
2023,UPPER,C4_UNSETTLED_BREAK,4,0.05,-0.15024009043133416,0.25,0.25,0.25
2023,LOWER,C1_CLEAN_REJECTION,27,0.35526315789473684,0.3535942028261184,0.6666666666666666,0.2222222222222222,0.14814814814814814
2023,LOWER,C2_RECLAIM_AFTER_CLOSE,21,0.27631578947368424,0.2959333257541651,0.6666666666666666,0.23809523809523808,0.23809523809523808
2023,LOWER,C3_ACCEPTANCE_HOLD,23,0.3026315789473684,-0.02715396122512178,0.34782608695652173,0.17391304347826086,0.2608695652173913
2023,LOWER,C4_UNSETTLED_BREAK,5,0.06578947368421052,-0.21743277232996117,0.2,0.0,0.4
2024,UPPER,C1_CLEAN_REJECTION,25,0.3246753246753247,0.13297013978276517,0.72,0.24,0.2
2024,UPPER,C2_RECLAIM_AFTER_CLOSE,16,0.2077922077922078,-0.09252610284546695,0.5,0.25,0.25
2024,UPPER,C3_ACCEPTANCE_HOLD,34,0.44155844155844154,-0.08679179397477076,0.38235294117647056,0.20588235294117646,0.38235294117647056
2024,UPPER,C4_UNSETTLED_BREAK,2,0.025974025974025976,0.3080602731785234,0.5,0.5,0.5
2024,LOWER,C1_CLEAN_REJECTION,27,0.32926829268292684,0.27783263771027905,0.8148148148148148,0.25925925925925924,0.14814814814814814
2024,LOWER,C2_RECLAIM_AFTER_CLOSE,15,0.18292682926829268,0.08398927096816522,0.5333333333333333,0.13333333333333333,0.2
2024,LOWER,C3_ACCEPTANCE_HOLD,27,0.32926829268292684,0.002390287749693379,0.4074074074074074,0.18518518518518517,0.37037037037037035
2024,LOWER,C4_UNSETTLED_BREAK,13,0.15853658536585366,0.08776398688721879,0.6153846153846154,0.3076923076923077,0.23076923076923078
2025,UPPER,C1_CLEAN_REJECTION,22,0.27848101265822783,0.3795882941651998,0.8181818181818182,0.4090909090909091,0.18181818181818182
2025,UPPER,C2_RECLAIM_AFTER_CLOSE,14,0.17721518987341772,0.09798606915508626,0.5714285714285714,0.14285714285714285,0.21428571428571427
2025,UPPER,C3_ACCEPTANCE_HOLD,32,0.4050632911392405,-0.06837684072817546,0.375,0.21875,0.40625
2025,UPPER,C4_UNSETTLED_BREAK,11,0.13924050632911392,-0.0983430962906559,0.45454545454545453,0.18181818181818182,0.2727272727272727
2025,LOWER,C1_CLEAN_REJECTION,19,0.2638888888888889,0.10999422723126104,0.6842105263157895,0.2631578947368421,0.15789473684210525
2025,LOWER,C2_RECLAIM_AFTER_CLOSE,19,0.2638888888888889,0.19470687359230202,0.6842105263157895,0.5263157894736842,0.21052631578947367
2025,LOWER,C3_ACCEPTANCE_HOLD,24,0.3333333333333333,0.036826704149116714,0.3333333333333333,0.16666666666666666,0.5
2025,LOWER,C4_UNSETTLED_BREAK,10,0.1388888888888889,-0.02712084947119291,0.2,0.0,0.6
2026,UPPER,C1_CLEAN_REJECTION,11,0.23404255319148937,0.09469493947613632,0.7272727272727273,0.2727272727272727,0.09090909090909091
2026,UPPER,C2_RECLAIM_AFTER_CLOSE,16,0.3404255319148936,-0.04750521804407247,0.5,0.125,0.3125
2026,UPPER,C3_ACCEPTANCE_HOLD,17,0.3617021276595745,-0.10041292361850578,0.23529411764705882,0.058823529411764705,0.4117647058823529
2026,UPPER,C4_UNSETTLED_BREAK,3,0.06382978723404255,0.6300994761515984,0.6666666666666666,0.3333333333333333,0.0
2026,LOWER,C1_CLEAN_REJECTION,17,0.425,0.29057308282595384,0.7058823529411765,0.23529411764705882,0.35294117647058826
2026,LOWER,C2_RECLAIM_AFTER_CLOSE,8,0.2,0.08901371055130564,0.625,0.125,0.25
2026,LOWER,C3_ACCEPTANCE_HOLD,12,0.3,-0.04448686534615101,0.3333333333333333,0.16666666666666666,0.5
2026,LOWER,C4_UNSETTLED_BREAK,3,0.075,0.1219291116275593,1.0,0.6666666666666666,0.3333333333333333
