period,policy,trigger_n,trigger_total_r,trigger_expectancy_r,trigger_positive,trigger_negative
DEV,NEXT5_RECLAIM,31,-17.047067968145985,-0.5499054183272898,5,26
REF,NEXT5_RECLAIM,8,-3.6491677276103096,-0.4561459659512887,1,7
DEV,NEXT15_RECLAIM,31,-16.47247980113473,-0.5313703161656365,5,26
REF,NEXT15_RECLAIM,8,-3.2168575410562728,-0.4021071926320341,1,7
