period,config,trades,total_r,expectancy_r,positive_r,negative_r,max_dd_r
DEV,BASELINE,440,15.311970240213064,0.0347999323641206,325,115,15.369793423930867
DEV,S20_IMMEDIATE_EXIT,440,20.477668670966324,0.04654015607037801,315,125,12.417645648490186
DEV,NEXT5_RESCUE,440,17.01859169725087,0.038678617493751975,320,120,14.12258495991632
DEV,NEXT15_RESCUE,440,17.593179864262126,0.03998449969150483,320,120,12.904174596301619
REF,BASELINE,272,-0.5193558256837143,-0.001909396417954832,201,71,11.134879413966255
REF,S20_IMMEDIATE_EXIT,272,1.4048249469810346,0.00516479759919498,199,73,11.22225239899528
REF,NEXT5_RESCUE,272,1.1858640070550233,0.004359794143584644,200,72,11.354910786899943
REF,NEXT15_RESCUE,272,1.6181741936090606,0.005949169829445076,200,72,10.834624207033512
