year,state,n,wins,losses,recoveries,winner_recovered,winner_recovery_rate,loss_leaked,loss_leak_rate,recovery_precision_win,median_minutes_recovery_win,median_minutes_recovery_loss,median_adverse_r_win,median_adverse_r_loss,median_recovery_to_resolution_win,median_recovery_to_resolution_loss
2022,NEXT5_RECLAIM,15,5,10,8,2,0.4,6,0.6,0.25,5.0,5.0,-0.5206072572793063,-0.4810386644657574,285.0,330.0
2022,NEXT15_RECLAIM,15,5,10,9,3,0.6,6,0.6,0.3333333333333333,5.0,15.0,-0.5811111111111068,-0.6244011112325489,115.0,320.0
2022,RECLAIM_HOLD,15,5,10,9,5,1.0,4,0.4,0.5555555555555556,15.0,10.0,-0.5811111111111068,-0.7006695816779471,110.0,322.5
2022,RECLAIM_FAILURE_HIGH_BREAK,15,5,10,11,5,1.0,6,0.6,0.45454545454545453,30.0,22.5,-0.5811111111111068,-0.5844619232065835,100.0,365.0
2022,RECLAIM_BREAK_LEVEL,15,5,10,11,5,1.0,6,0.6,0.45454545454545453,105.0,37.5,-0.5811111111111068,-0.5844619232065835,15.0,360.0
2023,NEXT5_RECLAIM,3,1,2,1,0,0.0,1,0.5,0.0,,5.0,,-0.1407035175879403,,965.0
2023,NEXT15_RECLAIM,3,1,2,3,1,1.0,2,1.0,0.3333333333333333,15.0,12.5,-0.33717277486910646,-0.45015261227903386,950.0,592.5
2023,RECLAIM_HOLD,3,1,2,2,0,0.0,2,1.0,0.0,,15.0,,-0.45015261227903386,,590.0
2023,RECLAIM_FAILURE_HIGH_BREAK,3,1,2,3,1,1.0,2,1.0,0.3333333333333333,370.0,57.5,-0.5958115183246064,-0.45015261227903386,595.0,547.5
2023,RECLAIM_BREAK_LEVEL,3,1,2,2,1,1.0,1,0.5,0.5,375.0,95.0,-0.5958115183246064,-0.1407035175879403,590.0,875.0
2024,NEXT5_RECLAIM,13,4,9,5,3,0.75,2,0.2222222222222222,0.6,5.0,5.0,-0.37447033898304755,-0.3958702408309135,470.0,45.0
2024,NEXT15_RECLAIM,13,4,9,2,1,0.25,1,0.1111111111111111,0.5,15.0,15.0,-0.6982248520710109,-0.5108333333333329,460.0,100.0
2024,RECLAIM_HOLD,13,4,9,4,1,0.25,3,0.3333333333333333,0.25,10.0,20.0,-0.6982248520710109,-0.5108333333333329,465.0,535.0
2024,RECLAIM_FAILURE_HIGH_BREAK,13,4,9,6,3,0.75,3,0.3333333333333333,0.5,45.0,40.0,-0.4488458674609084,-0.5108333333333329,425.0,515.0
2024,RECLAIM_BREAK_LEVEL,13,4,9,5,3,0.75,2,0.2222222222222222,0.6,405.0,132.5,-0.4488458674609084,-0.7017872813800751,185.0,482.5
2025,NEXT5_RECLAIM,5,1,4,1,1,1.0,0,0.0,1.0,5.0,,-0.21303901437371528,,80.0,
2025,NEXT15_RECLAIM,5,1,4,1,1,1.0,0,0.0,1.0,5.0,,-0.21303901437371528,,80.0,
2025,RECLAIM_HOLD,5,1,4,1,1,1.0,0,0.0,1.0,10.0,,-0.21303901437371528,,75.0,
2025,RECLAIM_FAILURE_HIGH_BREAK,5,1,4,1,1,1.0,0,0.0,1.0,75.0,,-0.42556468172484374,,10.0,
2025,RECLAIM_BREAK_LEVEL,5,1,4,1,1,1.0,0,0.0,1.0,15.0,,-0.21303901437371528,,70.0,
2026,NEXT5_RECLAIM,3,1,2,1,0,0.0,1,0.5,0.0,,5.0,,-0.4324979789814083,,780.0
2026,NEXT15_RECLAIM,3,1,2,0,0,0.0,0,0.0,,,,,,,
2026,RECLAIM_HOLD,3,1,2,2,1,1.0,1,0.5,0.5,45.0,15.0,-0.5726375176304678,-0.6425765907305618,125.0,85.0
2026,RECLAIM_FAILURE_HIGH_BREAK,3,1,2,3,1,1.0,2,1.0,0.3333333333333333,45.0,35.0,-0.5726375176304678,-0.5605768968204126,125.0,407.5
2026,RECLAIM_BREAK_LEVEL,3,1,2,1,1,1.0,0,0.0,1.0,40.0,,-0.5726375176304678,,130.0,
