period,state,n,wins,losses,recoveries,winner_recovered,winner_recovery_rate,loss_leaked,loss_leak_rate,recovery_precision_win,median_minutes_recovery_win,median_minutes_recovery_loss,median_adverse_r_win,median_adverse_r_loss,median_recovery_to_resolution_win,median_recovery_to_resolution_loss
DEV,NEXT5_RECLAIM,31,10,21,14,5,0.5,9,0.42857142857142855,0.35714285714285715,5.0,5.0,-0.3804713804713791,-0.39921465968586606,460.0,265.0
DEV,NEXT15_RECLAIM,31,10,21,14,5,0.5,9,0.42857142857142855,0.35714285714285715,10.0,15.0,-0.5811111111111068,-0.5628626692456487,460.0,255.0
DEV,RECLAIM_HOLD,31,10,21,15,6,0.6,9,0.42857142857142855,0.4,12.5,15.0,-0.6209271225991703,-0.6859395532194493,282.5,385.0
DEV,RECLAIM_FAILURE_HIGH_BREAK,31,10,21,20,9,0.9,11,0.5238095238095238,0.45,40.0,30.0,-0.5811111111111068,-0.5108333333333329,425.0,390.0
DEV,RECLAIM_BREAK_LEVEL,31,10,21,18,9,0.9,9,0.42857142857142855,0.5,115.0,45.0,-0.5811111111111068,-0.48298429319371783,100.0,390.0
REF,NEXT5_RECLAIM,8,2,6,2,1,0.5,1,0.16666666666666666,0.5,5.0,5.0,-0.21303901437371528,-0.4324979789814083,80.0,780.0
REF,NEXT15_RECLAIM,8,2,6,1,1,0.5,0,0.0,1.0,5.0,,-0.21303901437371528,,80.0,
REF,RECLAIM_HOLD,8,2,6,3,2,1.0,1,0.16666666666666666,0.6666666666666666,27.5,15.0,-0.39283826600209154,-0.6425765907305618,100.0,85.0
REF,RECLAIM_FAILURE_HIGH_BREAK,8,2,6,4,2,1.0,2,0.3333333333333333,0.5,60.0,35.0,-0.49910109967765576,-0.5605768968204126,67.5,407.5
REF,RECLAIM_BREAK_LEVEL,8,2,6,2,2,1.0,0,0.0,1.0,27.5,,-0.39283826600209154,,100.0,
