detector,role,period,eligible,eligible_survive,eligible_consumed,base_survival_rate,pass_n,pass_rate,pass_survive,pass_consumed,pass_survival_precision,pass_precision_wilson_lo,pass_precision_wilson_hi,uplift_pp,relative_lift,survivor_retention,consumed_rejection,false_pass_consumed_rate,rejected_survive,rejected_consumed,too_fast_survive,whole_parent_survive,whole_parent_survivor_capture
SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,DEV,532,391,141,0.7349624060150376,286,0.5375939849624061,235,51,0.8216783216783217,0.7731414079752474,0.8616884081202778,8.671591566328408,1.1179868724625757,0.6010230179028133,0.6382978723404256,0.3617021276595745,156,90,109,500,0.47
SD1_CLOSE15_ABOVE_ANCHOR,PRIMARY,REF,307,228,79,0.742671009771987,160,0.5211726384364821,137,23,0.85625,0.7935312683939587,0.9022633175463438,11.357899022801298,1.1529331140350876,0.6008771929824561,0.7088607594936709,0.2911392405063291,91,56,81,309,0.44336569579288027
B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,DEV,532,391,141,0.7349624060150376,158,0.29699248120300753,134,24,0.8481012658227848,0.7839275462564425,0.8957499653128903,11.313885980774717,1.1539382951859884,0.34271099744245526,0.8297872340425532,0.1702127659574468,257,117,109,500,0.268
B1_ALL3_ABOVE_ANCHOR,STRICT_BENCHMARK,REF,307,228,79,0.742671009771987,101,0.3289902280130293,91,10,0.900990099009901,0.8272681581315193,0.9453269670329527,15.831908923791405,1.2131752648949106,0.3991228070175439,0.8734177215189873,0.12658227848101267,137,69,81,309,0.29449838187702265
B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,DEV,532,391,141,0.7349624060150376,58,0.10902255639097744,51,7,0.8793103448275862,0.7712064595403911,0.9402903395175928,14.434793881254858,1.1964017991004499,0.13043478260869565,0.950354609929078,0.04964539007092199,340,134,109,500,0.102
B2_BREAK_TOUCH_HIGH,STRICT_BENCHMARK,REF,307,228,79,0.742671009771987,43,0.14006514657980457,39,4,0.9069767441860465,0.783972963587464,0.9632283593682872,16.430573441405947,1.2212362301101591,0.17105263157894737,0.9493670886075949,0.05063291139240506,189,75,81,309,0.1262135922330097
