period,fast_survive_resolved,fast_consumed_resolved,sd1_pass_survive,sd1_pass_consumed,sd1_reject_survive,sd1_reject_consumed,known_or_predicted_survive,correct_survive_among_positive,operational_positive_precision,parent_survivor_recognition,consumed_correctly_rejected
DEV,109,16,235,51,156,90,395,344,0.8708860759493671,0.688,106
REF,81,15,137,23,91,56,241,218,0.9045643153526971,0.7055016181229773,71
