period,candidate,false_stops,median_stop_to_later_target_min,median_overshoot_candidate_r
DEV,DEMAND_LOW_BASELINE,0,,
DEV,TOUCH_BAR_LOW,14,55.0,0.3609693877550971
DEV,D1_BAR_LOW,31,55.0,0.5789473684210459
DEV,ANCHOR_LEVEL,40,50.0,1.0540584415583891
DEV,DEMAND_HIGH_LEVEL,26,45.0,0.8301801801801283
REF,DEMAND_LOW_BASELINE,0,,
REF,TOUCH_BAR_LOW,19,125.0,0.831325301204844
REF,D1_BAR_LOW,26,117.5,0.9109136477557414
REF,ANCHOR_LEVEL,32,97.5,1.1622626737129877
REF,DEMAND_HIGH_LEVEL,26,85.0,1.130003421142689
