period,candidate,signals,available,availability_rate,median_sl_distance_event_r,median_risk_compression,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,mean_win_r,expectancy_per_signal,total_r,pf,max_dd_r,max_loss_streak,ge1_available,ge1_retained_win,ge1_false_stop,ge1_false_stop_rate,median_stop_to_later_target_min,median_false_stop_overshoot_candidate_r,fp_available,fp_became_win,fp_remain_loss
DEV,DEMAND_LOW_BASELINE,151,151,1.0,1.3604060913705533,0.0,151,108,43,0,0,0.7152317880794702,0.43939393939393745,0.417306174254488,0.013702429268110569,2.069066819484696,1.0481178330112721,5.806660156482641,2,108,108,0,0.0,,,43,0,43
DEV,TOUCH_BAR_LOW,151,151,1.0,0.8562300319488853,0.39534883720930003,151,95,56,0,0,0.6291390728476821,0.5746084089035233,0.6939491587869286,0.0657296032103194,9.925170084758228,1.1772351800849683,8.208236067744672,6,108,94,14,0.12962962962962962,55.0,0.3609693877550971,43,1,42
DEV,D1_BAR_LOW,151,151,1.0,0.5357142857142531,0.6214953271028003,151,77,74,0,0,0.5099337748344371,0.8124999999999889,1.057878885643284,0.04938194830816468,7.456674194532868,1.1007658674936873,9.456039379023226,7,108,77,31,0.28703703703703703,55.0,0.5789473684210459,43,0,43
DEV,ANCHOR_LEVEL,151,151,1.0,0.3604060913705534,0.7350746268656743,149,66,83,2,0,0.4429530201342282,1.2903017241379227,1.5073023921334074,0.10915203894572767,16.481957880804877,1.19857780579283,11.483913476606954,7,108,66,40,0.37037037037037035,50.0,1.0540584415583891,43,0,43
DEV,DEMAND_HIGH_LEVEL,151,140,0.9271523178807947,0.5434234187049377,0.605408902691507,138,72,66,2,0,0.5217391304347826,0.8739297000511927,1.1814256723231455,0.12624270468388402,19.062648407266487,1.2888280061707043,9.809523809523782,7,100,72,26,0.26,45.0,0.8301801801801283,40,0,40
REF,DEMAND_LOW_BASELINE,101,101,1.0,1.4104477611941058,0.0,100,83,17,1,0,0.83,0.41204170871173873,0.4033760023677114,0.16317037818336672,16.48020819652004,1.9694240115600028,2.8087485514040456,2,83,83,0,0.0,,,18,0,17
REF,TOUCH_BAR_LOW,101,101,1.0,0.9032258064516405,0.39847328244274605,101,64,37,0,0,0.6336633663366337,0.5130256867352724,0.7531727009813224,0.11092131547331321,11.203052862804634,1.3027852125082333,6.428826130366564,3,83,64,19,0.2289156626506024,125.0,0.831325301204844,18,0,18
REF,D1_BAR_LOW,101,101,1.0,0.5269709543568459,0.6360171975767053,101,57,44,0,0,0.5643564356435643,0.9047619047619891,1.1863639120749676,0.23388854443834806,23.622742988273153,1.5368805224607536,7.3008296605749425,3,83,57,26,0.3132530120481928,117.5,0.9109136477557414,18,0,18
REF,ANCHOR_LEVEL,101,101,1.0,0.4104477611941058,0.7089947089946709,100,50,50,1,0,0.5,1.1794545454545002,1.4727126109104043,0.23401614401505164,23.635630545520215,1.4727126109104043,8.996662329424154,7,83,50,32,0.3855421686746988,97.5,1.1622626737129877,18,0,18
REF,DEMAND_HIGH_LEVEL,101,88,0.8712871287128713,0.5051724137931186,0.6439356712083825,88,47,41,0,0,0.5340909090909091,0.8457831325301229,1.3175327778661436,0.20716871841295792,20.92404055970875,1.5103424526758231,8.713390071345046,4,73,47,26,0.3561643835616438,85.0,1.130003421142689,15,0,15
