year,candidate,signals,available,availability_rate,median_sl_distance_event_r,median_risk_compression,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,mean_win_r,expectancy_per_signal,total_r,pf,max_dd_r,max_loss_streak,ge1_available,ge1_retained_win,ge1_false_stop,ge1_false_stop_rate,median_stop_to_later_target_min,median_false_stop_overshoot_candidate_r,fp_available,fp_became_win,fp_remain_loss
2022,DEMAND_LOW_BASELINE,57,57,1.0,1.37121212121213,0.0,57,38,19,0,0,0.6666666666666666,0.44949494949495206,0.40833300192695754,-0.06111133204869497,-3.483345926775613,0.8166660038539151,5.179018821254075,2,38,38,0,0.0,,,19,0,19
2022,TOUCH_BAR_LOW,57,57,1.0,0.8244274809160603,0.4085778781038374,57,35,22,0,0,0.6140350877192983,0.6868686868686874,0.7584083120979005,0.07972440216537753,4.544290923426519,1.2065586783375688,6.2290910905547845,4,38,35,3,0.07894736842105263,60.0,0.8939393939394037,19,0,19
2022,D1_BAR_LOW,57,57,1.0,0.5751072961373567,0.5881226053639803,57,29,28,0,0,0.5087719298245614,0.788461538461549,0.9704513228587527,0.002510322156207571,0.14308836290383153,1.0051102986751368,7.452062107086748,4,38,29,9,0.23684210526315788,55.0,0.2325581395349329,19,0,19
2022,ANCHOR_LEVEL,57,57,1.0,0.37121212121213004,0.7292817679557964,56,25,31,1,0,0.44642857142857145,0.9761904761904977,1.371889083597794,0.05784608929727801,3.2972270899448466,1.1063621641917694,5.969019607843178,4,38,25,12,0.3157894736842105,55.0,0.8485714285714167,19,0,19
2022,DEMAND_HIGH_LEVEL,57,53,0.9298245614035088,0.5041322314049784,0.6390243902439089,51,23,28,2,0,0.45098039215686275,1.1621621621620895,1.341473307443308,0.050068176687650685,2.853886071196089,1.1019245025427173,9.809523809523782,7,35,23,10,0.2857142857142857,40.0,0.6333333333333655,18,0,18
2023,DEMAND_LOW_BASELINE,42,42,1.0,1.370437771711675,0.0,42,30,12,0,0,0.7142857142857143,0.4170879220075732,0.4093640352736258,0.0066885966240184495,0.2809210582087749,1.0234100881840644,3.8225177918292097,2,30,30,0,0.0,,,12,0,12
2023,TOUCH_BAR_LOW,42,42,1.0,0.9757940854325933,0.3487034965233065,42,27,15,0,0,0.6428571428571429,0.5173410404624449,0.553393169066213,-0.0013901056002916616,-0.058384435212249786,0.9961077043191834,3.7273789753325324,3,30,26,4,0.13333333333333333,82.5,0.4119309262166242,12,1,11
2023,D1_BAR_LOW,42,42,1.0,0.555234425176619,0.6041311149033017,42,21,21,0,0,0.5,0.8124999999999889,1.0212211692827888,0.010610584641394416,0.4456445549385655,1.0212211692827888,8.15042830342435,4,30,21,9,0.3,115.0,0.5348837209303017,12,0,12
2023,ANCHOR_LEVEL,42,42,1.0,0.3704377717116747,0.7297049956933583,41,16,25,1,0,0.3902439024390244,1.6287878787878147,1.5789192711389308,0.006254960433878441,0.2627083382228945,1.0105083335289158,7.638042026200047,4,30,16,13,0.43333333333333335,60.0,1.0000000000000862,12,0,12
2023,DEMAND_HIGH_LEVEL,42,40,0.9523809523809523,0.6675579322638335,0.5027191825972366,40,22,18,0,0,0.55,0.8038085434894621,0.9928681075531589,0.09150234205165468,3.843098366169497,1.2135054647871941,4.298721296183294,3,29,22,7,0.2413793103448276,60.0,1.9375000000000555,11,0,11
2024,DEMAND_LOW_BASELINE,52,52,1.0,1.3500123724684094,0.0,52,40,12,0,0,0.7692307692307693,0.4439668134939421,0.4317872922012883,0.1013748401548372,5.271491688051535,1.4392909740042945,3.004858395544421,2,40,40,0,0.0,,,12,0,12
2024,TOUCH_BAR_LOW,52,52,1.0,0.8330957017665712,0.4558249721293196,52,33,19,0,0,0.6346153846153846,0.504504504504526,0.740583745349817,0.10460122301046079,5.439263596543961,1.2862770313970504,8.20823606774467,6,40,33,7,0.175,45.0,0.26415094339618594,12,0,12
2024,D1_BAR_LOW,52,52,1.0,0.4705195783132637,0.6458210644484536,52,27,25,0,0,0.5192307692307693,0.8870967741934686,1.1802941213589064,0.13207579378250903,6.86794127669047,1.274717651067619,9.456039379023226,7,40,27,13,0.325,35.0,0.7578947368421884,12,0,12
2024,ANCHOR_LEVEL,52,52,1.0,0.3500123724684094,0.7407387099469402,52,25,27,0,0,0.4807692307692308,1.4174757281554127,1.5968808981054854,0.2485004317814834,12.922022452637137,1.4785934241717458,9.270796804987494,7,40,25,15,0.375,35.0,1.2549019607843093,12,0,12
2024,DEMAND_HIGH_LEVEL,52,47,0.9038461538461539,0.5340909090909428,0.5983606557377203,47,27,20,0,0,0.574468085106383,0.8536585365854876,1.1987282951815148,0.23780123019040195,12.3656639699009,1.618283198495045,7.440846273046619,7,36,27,9,0.25,35.0,0.8270270270270021,11,0,11
2025,DEMAND_LOW_BASELINE,62,62,1.0,1.4223106297581614,0.0,61,52,9,1,0,0.8524590163934426,0.39604661370944405,0.37177800599781935,0.16665252115946133,10.332456311886602,2.148050701320734,2.0760688025869154,2,52,52,0,0.0,,,10,0,9
2025,TOUCH_BAR_LOW,62,62,1.0,0.9014843685214516,0.41423664122137327,62,41,21,0,0,0.6612903225806451,0.466827503015682,0.7041148589088072,0.12691466476227573,7.868709215261094,1.3747004388219568,6.428826130366564,3,52,41,11,0.21153846153846154,115.0,0.9020270270270752,10,0,10
2025,D1_BAR_LOW,62,62,1.0,0.5627665840679277,0.6144824384960499,62,36,26,0,0,0.5806451612903226,0.8771887348679597,1.061045709183902,0.19673621823581403,12.19764553062047,1.4691402127161721,7.3008296605749425,3,52,36,16,0.3076923076923077,105.0,0.9109136477557414,10,0,10
2025,ANCHOR_LEVEL,62,62,1.0,0.42231062975816136,0.7030934836563436,61,31,30,1,0,0.5081967213114754,1.0631578947370286,1.2346594052292112,0.13345873487267013,8.274441562105547,1.2758147187368516,8.996662329424154,7,52,31,20,0.38461538461538464,85.0,1.1002207972899583,10,0,10
2025,DEMAND_HIGH_LEVEL,62,53,0.8548387096774194,0.4793650793650626,0.6513409961685745,53,29,24,0,0,0.5471698113207547,0.74137931034483,1.1735939523104586,0.16184233253231128,10.0342246170033,1.4180926923751374,8.713390071345046,3,44,29,15,0.3409090909090909,80.0,1.437229437229493,9,0,9
2026,DEMAND_LOW_BASELINE,39,39,1.0,1.353982300884937,0.0,39,31,8,0,0,0.7948717948717948,0.5052264808362916,0.4563790930526915,0.15763466370854964,6.147751884633436,1.7684689855791795,2.679468242245188,2,31,31,0,0.0,,,8,0,8
2026,TOUCH_BAR_LOW,39,39,1.0,0.9171686746988018,0.39555555555554944,39,23,16,0,0,0.5897435897435898,0.6630434782609139,0.8406236368497192,0.08549599096265485,3.3343436475435393,1.2083964779714713,3.3068187615798745,2,31,23,8,0.25806451612903225,140.0,0.251874414245552,8,0,8
2026,D1_BAR_LOW,39,39,1.0,0.4611872146118565,0.6741935483871021,39,21,18,0,0,0.5384615384615384,0.9603174603174095,1.4011951170310801,0.29295121686288944,11.425097457652688,1.6347276365362602,3.4967718794833775,2,31,21,10,0.3225806451612903,135.0,1.0052687038989092,8,0,8
2026,ANCHOR_LEVEL,39,39,1.0,0.35398230088493704,0.7385620915032782,39,19,20,0,0,0.48717948717948717,1.4210526315790182,1.8611152096534034,0.3938766406003761,15.361188983414667,1.768059449170733,3.3326411421153095,2,31,19,12,0.3870967741935484,127.5,1.5247132429614072,8,0,8
2026,DEMAND_HIGH_LEVEL,39,35,0.8974358974358975,0.5388127853881435,0.6204620462046245,35,18,17,0,0,0.5142857142857142,0.8732851280046687,1.5494342190391917,0.2792260498129603,10.889815942705452,1.6405774083944382,4.0,4,29,18,11,0.3793103448275862,125.0,0.9008264462810756,6,0,6
