group,n,median_mfe_60,median_adverse_60,median_time_mfe_60,median_time_mae_60
LOSS,184,0.0014453663029569963,0.006148991344627486,10.0,50.0
WIN,267,0.004978116334235505,0.001580278128950563,50.0,10.0
