threshold,year,n,positive_reach,positive_reach_rate,adverse_reach,adverse_reach_rate,pos_first,neg_first,ambiguous_same_bar,neither,pos_first_rate_all,neg_first_rate_all,ambiguous_rate,neither_rate,unambiguous_n,positive_first_share,wilson_lcb
0.0025,2022,97,71,0.7319587628865979,63,0.6494845360824743,43,45,6,3,0.44329896907216493,0.4639175257731959,0.061855670103092786,0.030927835051546393,88,0.48863636363636365,0.3868786464057155
0.0025,2023,82,43,0.524390243902439,40,0.4878048780487805,29,37,1,15,0.35365853658536583,0.45121951219512196,0.012195121951219513,0.18292682926829268,66,0.4393939393939394,0.3262812091954944
0.0025,2024,114,76,0.6666666666666666,63,0.5526315789473685,55,43,8,8,0.4824561403508772,0.37719298245614036,0.07017543859649122,0.07017543859649122,98,0.5612244897959183,0.4625100210917256
0.0025,2025,93,58,0.6236559139784946,52,0.5591397849462365,45,34,5,9,0.4838709677419355,0.3655913978494624,0.053763440860215055,0.0967741935483871,79,0.569620253164557,0.45972198968550965
0.0025,2026,65,32,0.49230769230769234,28,0.4307692307692308,28,22,1,14,0.4307692307692308,0.3384615384615385,0.015384615384615385,0.2153846153846154,50,0.56,0.4230602802165686
0.005,2022,97,39,0.4020618556701031,38,0.3917525773195876,32,37,0,28,0.32989690721649484,0.38144329896907214,0.0,0.28865979381443296,69,0.463768115942029,0.35114184069675103
0.005,2023,82,20,0.24390243902439024,25,0.3048780487804878,17,24,0,41,0.2073170731707317,0.2926829268292683,0.0,0.5,41,0.4146341463414634,0.2775654945425213
0.005,2024,114,46,0.40350877192982454,43,0.37719298245614036,39,36,0,39,0.34210526315789475,0.3157894736842105,0.0,0.34210526315789475,75,0.52,0.4087421577281785
0.005,2025,93,28,0.3010752688172043,33,0.3548387096774194,24,30,1,38,0.25806451612903225,0.3225806451612903,0.010752688172043012,0.40860215053763443,54,0.4444444444444444,0.32002464172229655
0.005,2026,65,14,0.2153846153846154,15,0.23076923076923078,13,15,0,37,0.2,0.23076923076923078,0.0,0.5692307692307692,28,0.4642857142857143,0.29531569982795375
0.0075,2022,97,24,0.24742268041237114,28,0.28865979381443296,18,28,0,51,0.18556701030927836,0.28865979381443296,0.0,0.5257731958762887,46,0.391304347826087,0.26393225037829016
0.0075,2023,82,8,0.0975609756097561,12,0.14634146341463414,8,12,0,62,0.0975609756097561,0.14634146341463414,0.0,0.7560975609756098,20,0.4,0.2188065323728171
0.0075,2024,114,27,0.23684210526315788,25,0.21929824561403508,24,20,0,70,0.21052631578947367,0.17543859649122806,0.0,0.6140350877192983,44,0.5454545454545454,0.40066183198961974
0.0075,2025,93,15,0.16129032258064516,17,0.1827956989247312,13,14,1,65,0.13978494623655913,0.15053763440860216,0.010752688172043012,0.6989247311827957,27,0.48148148148148145,0.30743226976218463
0.0075,2026,65,6,0.09230769230769231,8,0.12307692307692308,6,8,0,51,0.09230769230769231,0.12307692307692308,0.0,0.7846153846153846,14,0.42857142857142855,0.2138079890447412
0.01,2022,97,12,0.12371134020618557,18,0.18556701030927836,10,18,0,69,0.10309278350515463,0.18556701030927836,0.0,0.711340206185567,28,0.35714285714285715,0.20705829507737677
0.01,2023,82,5,0.06097560975609756,7,0.08536585365853659,5,7,0,70,0.06097560975609756,0.08536585365853659,0.0,0.8536585365853658,12,0.4166666666666667,0.19326031365875665
0.01,2024,114,16,0.14035087719298245,18,0.15789473684210525,13,16,0,85,0.11403508771929824,0.14035087719298245,0.0,0.7456140350877193,29,0.4482758620689655,0.284131680230372
0.01,2025,93,11,0.11827956989247312,12,0.12903225806451613,9,10,1,73,0.0967741935483871,0.10752688172043011,0.010752688172043012,0.7849462365591398,19,0.47368421052631576,0.2732980516117956
0.01,2026,65,4,0.06153846153846154,3,0.046153846153846156,4,3,0,58,0.06153846153846154,0.046153846153846156,0.0,0.8923076923076924,7,0.5714285714285714,0.2504583645276572
