threshold,year,n,positive_reach,positive_reach_rate,adverse_reach,adverse_reach_rate,pos_first,neg_first,ambiguous_same_bar,neither,pos_first_rate_all,neg_first_rate_all,ambiguous_rate,neither_rate,unambiguous_n,positive_first_share,wilson_lcb,era_pass_count,recent_2025_2026_positive_first_share,frozen_threshold_gate
0.0025,POOLED,451,280,0.6208425720620843,246,0.5454545454545454,200,181,21,49,0.4434589800443459,0.401330376940133,0.04656319290465632,0.10864745011086474,381,0.5249343832020997,0.4747922304032059,3.0,0.5658914728682171,False
0.005,POOLED,451,147,0.3259423503325942,154,0.34146341463414637,125,142,1,183,0.2771618625277162,0.3148558758314856,0.0022172949002217295,0.4057649667405765,267,0.4681647940074906,0.4091883456695346,1.0,0.45121951219512196,False
0.0075,POOLED,451,80,0.17738359201773837,90,0.19955654101995565,69,82,1,299,0.15299334811529933,0.18181818181818182,0.0022172949002217295,0.6629711751662971,151,0.45695364238410596,0.3795523809489993,1.0,0.4634146341463415,False
0.01,POOLED,451,48,0.10643015521064302,58,0.1286031042128603,41,54,1,355,0.09090909090909091,0.1197339246119734,0.0022172949002217295,0.7871396895787139,95,0.43157894736842106,0.3365583329880693,0.0,0.5,False
