structure_id,structure,direction,status
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,LONG,NO_ENTRY_FOUND
S02,IMPULSE_HL_READY_LONG,LONG,NO_ENTRY_FOUND
S03,COMPRESSION_BREAK_RETEST_LONG,LONG,NO_ENTRY_FOUND
S04,FAILED_BREAK_DISPLACEMENT_LONG,LONG,NO_ENTRY_FOUND
S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,SHORT,NO_ENTRY_FOUND
S06,IMPULSE_LH_READY_SHORT,SHORT,NO_ENTRY_FOUND
S07,COMPRESSION_BREAK_RETEST_SHORT,SHORT,NO_ENTRY_FOUND
S08,FAILED_BREAK_DISPLACEMENT_SHORT,SHORT,NO_ENTRY_FOUND
