period,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate,median_stop_outcome
DEV,R1_30_SCORE_Q85,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,17,0.2236842105263158,8,0.16326530612244897,9,0.3333333333333333,0.10983729228746794,0.10541986201532022,0.0385377063555594,-0.21202662206275819,0.5526315789473685,-0.10990253005708012
DEV,R2_60_DRAW_Q85,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,17,0.2236842105263158,8,0.16326530612244897,9,0.3333333333333333,0.12492943931933428,0.10071907073104538,0.06193300667920535,-0.24243518469688588,0.5394736842105263,-0.19485537739239053
DEV,R3_60_SCORE_Q85,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,16,0.21052631578947367,8,0.16326530612244897,8,0.2962962962962963,0.1075707612241323,0.09077735667615512,0.06193300667920535,-0.2544811542343379,0.5394736842105263,-0.18568850382553548
DEV,R4_60_2OF3_Q85,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,14,0.18421052631578946,6,0.12244897959183673,8,0.2962962962962963,0.13635181644819971,0.1064753823732193,0.09511661335031155,-0.2544811542343379,0.5657894736842105,-0.20107352223643504
REF,R1_30_SCORE_Q85,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,16,0.38095238095238093,8,0.3333333333333333,8,0.4444444444444444,0.2167355485878004,-0.002169214303498847,-0.0745423414862893,-0.2465336737858857,0.38095238095238093,-0.1284199576135141
REF,R2_60_DRAW_Q85,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,11,0.2619047619047619,3,0.125,8,0.4444444444444444,0.08725859941083786,0.048895503590631564,-0.0008065720236072999,-0.32157123956961875,0.5,-0.2827527794092011
REF,R3_60_SCORE_Q85,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,12,0.2857142857142857,4,0.16666666666666666,8,0.4444444444444444,0.08725859941083786,0.021301254198626284,-0.0132705824402144,-0.32157123956961875,0.47619047619047616,-0.27969769529086413
REF,R4_60_2OF3_Q85,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,10,0.23809523809523808,2,0.08333333333333333,8,0.4444444444444444,0.08725859941083786,0.05230824262601617,0.01153115660968305,-0.32157123956961875,0.5238095238095238,-0.2942573884738754
ALL,R1_30_SCORE_Q85,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,33,0.2796610169491525,16,0.2191780821917808,17,0.37777777777777777,0.17721829131984806,0.06712544502048631,-0.0132705824402144,-0.21712687730889937,0.4915254237288136,-0.11607022848263228
ALL,R2_60_DRAW_Q85,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,28,0.23728813559322035,11,0.1506849315068493,17,0.37777777777777777,0.11630662405998976,0.0822733942912371,0.01198826602121185,-0.3186488316422372,0.5254237288135594,-0.22032505323602047
ALL,R3_60_SCORE_Q85,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,28,0.23728813559322035,12,0.1643835616438356,16,0.35555555555555557,0.08725859941083786,0.06604857443839063,0.0081488441784475,-0.3186488316422372,0.5169491525423728,-0.22032505323602047
ALL,R4_60_2OF3_Q85,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,24,0.2033898305084746,8,0.1095890410958904,16,0.35555555555555557,0.10037168361945131,0.08719555297167242,0.0422282410902072,-0.3186488316422372,0.5508474576271186,-0.2465256146300218
