period,feature,band,n,survive,survival_rate,dev_q25,dev_q50,dev_q75
REF,departure_net_progress_zone_r,Q4,101,75,0.7425742574257426,0.3701188455008509,0.6842105263157805,1.182539682539687
DEV,departure_efficiency,Q1,165,136,0.8242424242424242,0.4937655860349078,0.846860643185298,1.0
DEV,departure_efficiency,Q2,164,122,0.7439024390243902,0.4937655860349078,0.846860643185298,1.0
DEV,departure_efficiency,Q3,328,242,0.7378048780487805,0.4937655860349078,0.846860643185298,1.0
DEV,departure_efficiency,Q4,0,0,,0.4937655860349078,0.846860643185298,1.0
REF,departure_efficiency,Q1,100,79,0.79,0.4937655860349078,0.846860643185298,1.0
REF,departure_efficiency,Q2,101,65,0.6435643564356436,0.4937655860349078,0.846860643185298,1.0
REF,departure_efficiency,Q3,202,165,0.8168316831683168,0.4937655860349078,0.846860643185298,1.0
REF,departure_efficiency,Q4,0,0,,0.4937655860349078,0.846860643185298,1.0
DEV,bos_overshoot_zone_r,Q1,165,130,0.7878787878787878,0.1005025125628229,0.2290334712297844,0.4787234042553082
DEV,bos_overshoot_zone_r,Q2,164,124,0.7560975609756098,0.1005025125628229,0.2290334712297844,0.4787234042553082
DEV,bos_overshoot_zone_r,Q3,164,125,0.7621951219512195,0.1005025125628229,0.2290334712297844,0.4787234042553082
DEV,bos_overshoot_zone_r,Q4,164,121,0.7378048780487805,0.1005025125628229,0.2290334712297844,0.4787234042553082
REF,bos_overshoot_zone_r,Q1,120,97,0.8083333333333333,0.1005025125628229,0.2290334712297844,0.4787234042553082
REF,bos_overshoot_zone_r,Q2,94,68,0.723404255319149,0.1005025125628229,0.2290334712297844,0.4787234042553082
REF,bos_overshoot_zone_r,Q3,94,70,0.7446808510638298,0.1005025125628229,0.2290334712297844,0.4787234042553082
REF,bos_overshoot_zone_r,Q4,95,74,0.7789473684210526,0.1005025125628229,0.2290334712297844,0.4787234042553082
DEV,bos_body_frac,Q1,165,129,0.7818181818181819,0.4921875000000071,0.6406666666666676,0.7910764872521255
DEV,bos_body_frac,Q2,164,122,0.7439024390243902,0.4921875000000071,0.6406666666666676,0.7910764872521255
DEV,bos_body_frac,Q3,164,120,0.7317073170731707,0.4921875000000071,0.6406666666666676,0.7910764872521255
DEV,bos_body_frac,Q4,164,129,0.7865853658536586,0.4921875000000071,0.6406666666666676,0.7910764872521255
REF,bos_body_frac,Q1,98,79,0.8061224489795918,0.4921875000000071,0.6406666666666676,0.7910764872521255
REF,bos_body_frac,Q2,101,78,0.7722772277227723,0.4921875000000071,0.6406666666666676,0.7910764872521255
REF,bos_body_frac,Q3,106,76,0.7169811320754716,0.4921875000000071,0.6406666666666676,0.7910764872521255
REF,bos_body_frac,Q4,98,76,0.7755102040816326,0.4921875000000071,0.6406666666666676,0.7910764872521255
DEV,max_bull_fvg_zone_r,Q1,265,190,0.7169811320754716,0.0,0.0568181818181884,0.2802919708029128
DEV,max_bull_fvg_zone_r,Q2,64,52,0.8125,0.0,0.0568181818181884,0.2802919708029128
DEV,max_bull_fvg_zone_r,Q3,164,131,0.7987804878048781,0.0,0.0568181818181884,0.2802919708029128
