year,feature,type,low_n,low_survival,high_n,high_survival
2022,bos_overshoot_zone_r,NUMERIC,107,0.6822429906542056,102,0.7549019607843137
2022,bos_body_frac,NUMERIC,104,0.7019230769230769,105,0.7333333333333333
2022,base_width_pct,NUMERIC,76,0.7368421052631579,133,0.706766917293233
2022,approach_slope_per_zone_r,NUMERIC,109,0.7522935779816514,100,0.68
2022,approach_net_progress_zone_r,NUMERIC,107,0.7757009345794392,102,0.6568627450980392
2022,touch_penetration_zone_r,NUMERIC,111,0.7207207207207207,98,0.7142857142857143
2023,bos_overshoot_zone_r,NUMERIC,111,0.8288288288288288,99,0.7676767676767676
2023,bos_body_frac,NUMERIC,107,0.822429906542056,103,0.7766990291262136
2023,base_width_pct,NUMERIC,143,0.8111888111888111,67,0.7761194029850746
2023,approach_slope_per_zone_r,NUMERIC,100,0.83,110,0.7727272727272727
2023,approach_net_progress_zone_r,NUMERIC,102,0.8333333333333334,108,0.7685185185185185
2023,touch_penetration_zone_r,NUMERIC,98,0.8061224489795918,112,0.7946428571428571
2024,bos_overshoot_zone_r,NUMERIC,111,0.8018018018018018,127,0.7322834645669292
2024,bos_body_frac,NUMERIC,118,0.7627118644067796,120,0.7666666666666667
2024,base_width_pct,NUMERIC,110,0.7818181818181819,128,0.75
2024,approach_slope_per_zone_r,NUMERIC,120,0.8,118,0.7288135593220338
2024,approach_net_progress_zone_r,NUMERIC,120,0.8,118,0.7288135593220338
2024,touch_penetration_zone_r,NUMERIC,120,0.675,118,0.8559322033898306
2025,bos_overshoot_zone_r,NUMERIC,126,0.7936507936507936,128,0.75
2025,bos_body_frac,NUMERIC,129,0.7674418604651163,125,0.776
2025,base_width_pct,NUMERIC,110,0.7545454545454545,144,0.7847222222222222
2025,approach_slope_per_zone_r,NUMERIC,116,0.7844827586206896,138,0.7608695652173914
2025,approach_net_progress_zone_r,NUMERIC,116,0.7844827586206896,138,0.7608695652173914
2025,touch_penetration_zone_r,NUMERIC,139,0.7553956834532374,115,0.7913043478260869
2026,bos_overshoot_zone_r,NUMERIC,76,0.7368421052631579,73,0.7808219178082192
2026,bos_body_frac,NUMERIC,73,0.821917808219178,76,0.6973684210526315
2026,base_width_pct,NUMERIC,92,0.782608695652174,57,0.7192982456140351
2026,approach_slope_per_zone_r,NUMERIC,86,0.8023255813953488,63,0.6984126984126984
2026,approach_net_progress_zone_r,NUMERIC,86,0.8023255813953488,63,0.6984126984126984
2026,touch_penetration_zone_r,NUMERIC,63,0.7301587301587301,86,0.7790697674418605
