period,feature,n,true_n,false_n,survival_true,survival_false,rate_diff
DEV,has_bull_fvg,657,392,265,0.7908163265306123,0.7169811320754716,0.07383519445514064
REF,has_bull_fvg,403,236,167,0.7542372881355932,0.7844311377245509,-0.030193849588957655
DEV,predeparture_swept_prior_low,657,256,401,0.76171875,0.7605985037406484,0.0011202462593515872
REF,predeparture_swept_prior_low,403,165,238,0.7272727272727273,0.7941176470588235,-0.06684491978609619
DEV,touch_local_liquidity_sweep,657,123,534,0.7073170731707317,0.7734082397003745,-0.06609116652964286
REF,touch_local_liquidity_sweep,403,76,327,0.8026315789473685,0.7584097859327217,0.04422179301464679
DEV,touch_bullish,657,86,571,0.7093023255813954,0.7688266199649737,-0.05952429438357831
REF,touch_bullish,403,54,349,0.7962962962962963,0.7621776504297995,0.03411864586649682
DEV,touch_close_above_base_high,657,380,277,0.7552631578947369,0.7689530685920578,-0.01368991069732095
REF,touch_close_above_base_high,403,244,159,0.75,0.7924528301886793,-0.04245283018867929
