period,feature,n,survivor_n,consumed_n,survivor_median,consumed_median,median_diff,effect_dev_iqr,dev_q25,dev_q50,dev_q75
DEV,base_candles,657,500,157,2.0,3.0,-1.0,-0.3333333333333333,1.0,2.0,4.0
REF,base_candles,403,309,94,2.0,2.0,0.0,0.0,1.0,2.0,4.0
DEV,base_width_pct,657,500,157,0.009324663341928052,0.010456095641419708,-0.0011314322994916554,-0.13025019467588722,0.006305288913984582,0.009538950715421454,0.014991896272285242
REF,base_width_pct,403,309,94,0.007788161993769371,0.007830036665289633,-4.1874671520262044e-05,-0.004820601391663901,0.006305288913984582,0.009538950715421454,0.014991896272285242
DEV,base_mean_added_overlap,657,500,157,1.0,0.9592198581560352,0.040780141843964834,0.25016216407205843,0.836985173216609,0.9929078014184464,1.0
REF,base_mean_added_overlap,403,309,94,0.9651653677058436,1.0,-0.0348346322941564,-0.2136899629408776,0.836985173216609,0.9929078014184464,1.0
DEV,base_mean_body_frac,657,500,157,0.39910047758148937,0.3953969371589551,0.0037035404225342905,0.015347920034671834,0.2767123287671139,0.3980013112873241,0.5180180180180208
REF,base_mean_body_frac,403,309,94,0.4021325619005896,0.4285575300017892,-0.026424968101199597,-0.10950826805298905,0.2767123287671139,0.3980013112873241,0.5180180180180208
DEV,departure_bars,657,500,157,4.0,3.0,1.0,0.5,3.0,4.0,5.0
REF,departure_bars,403,309,94,4.0,4.0,0.0,0.0,3.0,4.0,5.0
DEV,departure_net_progress_zone_r,657,500,157,0.7234544994517897,0.6200466200466179,0.10340787940517182,0.12728363760594757,0.3701188455008509,0.6842105263157805,1.182539682539687
REF,departure_net_progress_zone_r,403,309,94,0.6400000000000026,0.7307019615271948,-0.09070196152719223,-0.11164406104819835,0.3701188455008509,0.6842105263157805,1.182539682539687
DEV,departure_efficiency,657,500,157,0.8246647978654985,0.932432432432418,-0.10776763456691951,-0.2128808938981985,0.4937655860349078,0.846860643185298,1.0
REF,departure_efficiency,403,309,94,0.9093851132686182,0.7687237106155134,0.14066140265310478,0.2778582387383964,0.4937655860349078,0.846860643185298,1.0
DEV,bos_overshoot_zone_r,657,500,157,0.22410714285714906,0.2464516129032217,-0.02234447004607265,-0.05907783133312464,0.1005025125628229,0.2290334712297844,0.4787234042553082
REF,bos_overshoot_zone_r,403,309,94,0.197381671701918,0.21236916046562687,-0.014987488763708867,-0.03962628477935728,0.1005025125628229,0.2290334712297844,0.4787234042553082
DEV,bos_body_frac,657,500,157,0.6399345745418759,0.6466380543633781,-0.006703479821502212,-0.022427992021826156,0.4921875000000071,0.6406666666666676,0.7910764872521255
REF,bos_body_frac,403,309,94,0.6358695652173834,0.654880952380965,-0.01901138716358164,-0.063606850618237,0.4921875000000071,0.6406666666666676,0.7910764872521255
DEV,max_bull_fvg_zone_r,657,500,157,0.06885179909581175,0.024691358024739,0.044160441071072754,0.15755157361294575,0.0,0.0568181818181884,0.2802919708029128
REF,max_bull_fvg_zone_r,403,309,94,0.051809794180267,0.07410551401968149,-0.022295719839414488,-0.07954462546874635,0.0,0.0568181818181884,0.2802919708029128
DEV,source_age_at_activation_h,657,500,157,5.0,5.0,0.0,0.0,5.0,5.0,7.0
REF,source_age_at_activation_h,403,309,94,5.0,6.0,-1.0,-0.5,5.0,5.0,7.0
DEV,protected_depth_to_broken_level_zone_r,657,500,157,1.6075554696185916,1.3780487804878108,0.22950668913078087,0.23355265419000262,1.0992907801418326,1.549824150058618,2.081967213114715
REF,protected_depth_to_broken_level_zone_r,403,309,94,1.5679347826086634,1.6343714301256616,-0.06643664751699818,-0.06760785675505414,1.0992907801418326,1.549824150058618,2.081967213114715
DEV,zone_age_at_retest_h,657,500,157,6.25,3.25,3.0,0.1411764705882353,1.25,5.25,22.5
REF,zone_age_at_retest_h,403,309,94,6.25,5.375,0.875,0.041176470588235294,1.25,5.25,22.5
DEV,approach_slope_per_zone_r,657,500,157,-0.04428186495553345,-0.0168178382464171,-0.027464026709116348,-0.1978983006278998,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
REF,approach_slope_per_zone_r,403,309,94,-0.056315104166663,-0.03390188264297495,-0.02241322152368805,-0.16150357331476847,-0.1167478354978414,-0.0410226385636214,0.0220306513409913
DEV,approach_efficiency,657,500,157,0.4163248840180258,0.4557823129251548,-0.039457428907129,-0.10150179591657564,0.2362637362637409,0.4321223709369039,0.6249999999999911
REF,approach_efficiency,403,309,94,0.440217391304355,0.449815199815205,-0.009597808510850014,-0.02468976889010266,0.2362637362637409,0.4321223709369039,0.6249999999999911
DEV,approach_overlap_mean,657,500,157,0.6196299268267604,0.623040634107521,-0.0034107072807605388,-0.02732230082011747,0.5570817882376674,0.6200922442681293,0.6819141478261113
REF,approach_overlap_mean,403,309,94,0.6006668301423946,0.588977681579369,0.011689148563025609,0.09363876963924435,0.5570817882376674,0.6200922442681293,0.6819141478261113
DEV,approach_net_progress_zone_r,657,500,157,-0.38546720575022386,-0.2386706948640543,-0.14679651088616957,-0.1434727260656486,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
REF,approach_net_progress_zone_r,403,309,94,-0.4113009198423114,-0.2756115107913677,-0.13568940905094368,-0.1326171126088388,-0.8924999999999983,-0.3463541666666648,0.1306666666666691
DEV,last1_bear_progress_zone_r,657,500,157,-0.3478009335349424,-0.3056930693069276,-0.042107864228014824,-0.06780511067532168,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
REF,last1_bear_progress_zone_r,403,309,94,-0.3018699910952803,-0.40822406639004155,0.10635407529476126,0.17125897925107755,-0.7307692307692476,-0.335766423357662,-0.1097560975609806
DEV,last2_bear_progress_zone_r,657,500,157,-0.5169083929868299,-0.5086705202312058,-0.008237872755624043,-0.010140035921922712,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
REF,last2_bear_progress_zone_r,403,309,94,-0.4833333333333295,-0.6121575860192205,0.12882425268589104,0.1585703723036966,-1.0279069767441782,-0.5114638447971828,-0.2154963680387594
DEV,last3_bear_progress_zone_r,657,500,157,-0.6235688476774848,-0.5404732254047272,-0.08309562227275757,-0.08877909447664942,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
REF,last3_bear_progress_zone_r,403,309,94,-0.5901898734177017,-0.697007376185458,0.10681750276775637,0.11412347498704999,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
DEV,touch_penetration_zone_r,657,500,157,0.16293161488890928,0.12268518518517744,0.04024642970373184,0.14111518956420951,0.06190476190475991,0.15681818181818008,0.3471074380165268
REF,touch_penetration_zone_r,403,309,94,0.14153846153845523,0.12205571391587107,0.01948274762258416,0.06831193833170467,0.06190476190475991,0.15681818181818008,0.3471074380165268
DEV,touch_close_location,657,500,157,1.0250313283208075,1.0396270396270568,-0.01459571130624937,-0.05375890785219081,0.9223744292237369,1.026915113871635,1.1938775510204078
REF,touch_close_location,403,309,94,1.0524121500893386,1.033004526639389,0.019407623449949618,0.07148213737477396,0.9223744292237369,1.026915113871635,1.1938775510204078
DEV,touch_body_zone_r,657,500,157,0.36060171678162567,0.3409090909091056,0.019692625872520075,0.034331834159776434,0.1615384615384698,0.3554054054054059,0.7351351351351335
REF,touch_body_zone_r,403,309,94,0.3302752293577661,0.4098091286306993,-0.0795338992729332,-0.1386582296131987,0.1615384615384698,0.3554054054054059,0.7351351351351335
DEV,touch_range_zone_r,657,500,157,0.689594867574445,0.5957446808510678,0.0938501867233772,0.10366315899220954,0.37861271676300245,0.66549295774648,1.2839506172839599
REF,touch_range_zone_r,403,309,94,0.640117994100264,0.7446006154976929,-0.10448262139742881,-0.11540732066702003,0.37861271676300245,0.66549295774648,1.2839506172839599
