partition,horizon_min,entry_ts,execution_start,dev_block,parent_exit_ts,parent_pnl,parent_R,invalidation_close_ts,parent_exit_equals_causal_origin,signal_ts,origin_ts,last_completed_bar_ts,origin_open,final_close,min_forward_low,max_forward_high,short_close_return_R,short_mfe_R,short_mae_R,short_excursion_dominance_R,short_capture_fraction,short_close_positive
development,30,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:45:00+00:00,-17.630385487528322,2.700000000000003,2022-03-06 19:40:00+00:00,True,2022-03-06 19:40:00+00:00,2022-03-06 19:45:00+00:00,2022-03-06 20:10:00+00:00,85.09,85.48,84.75,85.63,-0.14444444444444451,0.12592592592592705,0.19999999999999685,-0.0740740740740698,0.38636363636364224,False
development,30,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:15:00+00:00,-16.31165919282507,2.6899999999999977,2022-03-09 19:10:00+00:00,True,2022-03-09 19:10:00+00:00,2022-03-09 19:15:00+00:00,2022-03-09 19:40:00+00:00,86.29,87.17,86.02,87.4,-0.3271375464684001,0.1003717472118998,0.41263940520446113,-0.31226765799256134,0.1956521739130495,False
development,30,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:30:00+00:00,-17.508754377188573,1.259999999999998,2022-06-05 23:25:00+00:00,True,2022-06-05 23:25:00+00:00,2022-06-05 23:30:00+00:00,2022-06-05 23:55:00+00:00,38.58,38.51,38.38,38.72,0.05555555555555587,0.15873015873015558,0.11111111111111174,0.04761904761904384,0.5882352941176409,True
development,30,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:50:00+00:00,-15.717598557072886,1.0700000000000003,2022-07-10 00:45:00+00:00,True,2022-07-10 00:45:00+00:00,2022-07-10 00:50:00+00:00,2022-07-10 01:15:00+00:00,37.59,37.8,37.43,37.8,-0.19626168224298476,0.14953271028037723,0.19626168224298476,-0.04672897196260753,0.4324324324324454,False
development,30,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:20:00+00:00,-16.353887399463808,1.0599999999999952,2022-07-11 00:15:00+00:00,True,2022-07-11 00:15:00+00:00,2022-07-11 00:20:00+00:00,2022-07-11 00:45:00+00:00,36.08,36.31,36.06,36.38,-0.21698113207547645,0.01886792452829822,0.2830188679245336,-0.2641509433962354,0.06249999999998751,False
development,30,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 18:00:00+00:00,-14.77832512315269,0.9299999999999962,2022-09-20 17:55:00+00:00,True,2022-09-20 17:55:00+00:00,2022-09-20 18:00:00+00:00,2022-09-20 18:25:00+00:00,31.52,31.71,31.48,31.81,-0.2043010752688194,0.043010752688171304,0.3118279569892477,-0.2688172043010764,0.12121212121211926,False
development,30,2022-09-21 18:00:00+00:00,2022-09-21 15:00:00+00:00,1.0,2022-09-21 18:15:00+00:00,-16.07915893630185,0.9400000000000048,2022-09-21 18:10:00+00:00,True,2022-09-21 18:10:00+00:00,2022-09-21 18:15:00+00:00,2022-09-21 18:40:00+00:00,31.3,32.95,31.27,33.14,-1.7553191489361635,0.03191489361702232,1.957446808510628,-1.9255319148936056,0.0160427807486637,False
development,30,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:25:00+00:00,-8.668105548979954,0.21899999999999942,2022-11-27 23:20:00+00:00,True,2022-11-27 23:20:00+00:00,2022-11-27 23:25:00+00:00,2022-11-27 23:50:00+00:00,14.114,14.058,14.02,14.183,0.2557077625570826,0.429223744292244,0.3150684931506815,0.11415525114156255,0.5766871165644236,True
development,30,2022-12-27 00:00:00+00:00,2022-12-26 15:00:00+00:00,1.0,2022-12-27 00:50:00+00:00,-5.055389484789896,0.11000000000000121,2022-12-27 00:45:00+00:00,True,2022-12-27 00:45:00+00:00,2022-12-27 00:50:00+00:00,2022-12-27 01:15:00+00:00,11.259,11.321,11.256,11.335,-0.563636363636352,0.027272727272728007,0.6909090909090879,-0.6636363636363599,0.03797468354430494,False
development,30,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:35:00+00:00,-6.367746797287078,0.15000000000000036,2023-01-07 22:30:00+00:00,True,2023-01-07 22:30:00+00:00,2023-01-07 22:35:00+00:00,2023-01-07 23:00:00+00:00,13.101,13.058,13.01,13.104,0.2866666666666729,0.6066666666666725,0.019999999999988867,0.5866666666666835,0.9680851063829962,True
