partition,horizon_min,feature,n,neutral_reference,median,p25,p75,iqr,centered_median,effect,direction_ok,adequate_dev_blocks,same_direction_dev_blocks,dev_block_rule_pass,development_eligible,oos_replication_pass,full_horizon_replication
development,30,short_close_return_R,37,0.0,-0.0778210116731502,-0.25,0.19708854028184003,0.44708854028184003,-0.0778210116731502,0.1740617454075039,False,5,1,False,False,False,False
development,30,short_excursion_dominance_R,37,0.0,0.011904761904769356,-0.31226765799256134,0.27227722772275575,0.584544885715317,0.011904761904769356,0.02036586444546736,True,5,2,False,False,False,False
development,30,short_capture_fraction,37,0.5,0.5198412698412745,0.18148148148147908,0.8644345586513741,0.6829530771698951,0.019841269841274545,0.029052171378296205,True,5,2,False,False,False,False
development,60,short_close_return_R,37,0.0,-0.08675799086757262,-0.24731182795699072,0.20408163265306206,0.4513934606100528,-0.08675799086757262,0.19220037160113096,False,5,2,False,False,False,False
development,60,short_excursion_dominance_R,37,0.0,-0.0740740740740698,-0.3548387096774228,0.329300118623963,0.6841388283013858,-0.0740740740740698,0.1082734541730143,False,5,2,False,False,False,False
development,60,short_capture_fraction,37,0.5,0.38636363636364224,0.17314487632508724,0.8644345586513741,0.6912896823262868,-0.11363636363635776,0.16438313277576405,False,5,2,False,False,False,False
development,120,short_close_return_R,37,0.0,-0.05142083897158351,-0.23404255319148695,0.2609572712268478,0.4949998244183348,-0.05142083897158351,0.10388051961838006,False,5,2,False,False,False,False
development,120,short_excursion_dominance_R,37,0.0,0.06627226801382699,-0.45555555555555133,0.396226415094343,0.8517819706498944,0.06627226801382699,0.07780426247254615,True,5,2,False,False,False,False
development,120,short_capture_fraction,37,0.5,0.5697495452637481,0.17532467532468124,0.8410041841004241,0.6656795087757429,0.0697495452637481,0.10477946871464484,True,5,2,False,False,False,False
external,30,short_close_return_R,13,0.0,-0.05687693898655468,-0.1520891364902507,-0.005167958656330186,0.1469211778339205,-0.05687693898655468,0.3871255310166945,False,0,0,False,False,False,False
external,30,short_excursion_dominance_R,13,0.0,-0.05737704918032566,-0.17358490566037704,0.048476454293626514,0.22206135995400356,-0.05737704918032566,0.2583837602012813,False,0,0,False,False,False,False
external,30,short_capture_fraction,13,0.5,0.4212218649517712,0.15294117647059638,0.5738396624472545,0.42089848597665813,-0.07877813504822878,0.18716659164366203,False,0,0,False,False,False,False
external,60,short_close_return_R,13,0.0,-0.05067218200620376,-0.07924528301886746,0.040677966101698,0.11992324912056546,-0.05067218200620376,0.4225384350223886,False,0,0,False,False,False,False
external,60,short_excursion_dominance_R,13,0.0,-0.15423728813559143,-0.21169916434540556,0.06461864406779652,0.2763178084132021,-0.15423728813559143,0.5581880119175923,False,0,0,False,False,False,False
external,60,short_capture_fraction,13,0.5,0.31275720164609283,0.1689895470383242,0.5826558265582652,0.413666279519941,-0.18724279835390717,0.45264216017607745,False,0,0,False,False,False,False
external,120,short_close_return_R,13,0.0,-0.1954498448810746,-0.4651162790697684,0.04541940471588768,0.5105356837856561,-0.1954498448810746,0.38283287748233585,False,0,0,False,False,False,False
external,120,short_excursion_dominance_R,13,0.0,-0.2519379844961224,-0.42282958199356874,0.0689988403556282,0.49182842234919694,-0.2519379844961224,0.5122477129173456,False,0,0,False,False,False,False
external,120,short_capture_fraction,13,0.5,0.34836702954899085,0.14608433734939466,0.5900000000000034,0.4439156626506088,-0.15163297045100915,0.34158058209888936,False,0,0,False,False,False,False
reference_validation,30,short_close_return_R,26,0.0,-0.03198278653422615,-0.22225529100528535,0.114657605466431,0.33691289647171635,-0.03198278653422615,0.09492894712301726,False,0,0,False,False,False,False
reference_validation,30,short_excursion_dominance_R,26,0.0,-0.035944227199120535,-0.28173076923076423,0.09560674723061155,0.3773375164613758,-0.035944227199120535,0.09525749662053488,False,0,0,False,False,False,False
reference_validation,30,short_capture_fraction,26,0.5,0.44466403162054513,0.14733240491740385,0.6036682615629964,0.4563358566455925,-0.05533596837945487,0.12126149539555217,False,0,0,False,False,False,False
reference_validation,60,short_close_return_R,26,0.0,0.041040209790205,-0.11664264330857015,0.22722739361702288,0.34387003692559304,0.041040209790205,0.11934802507694302,True,0,0,False,False,False,False
reference_validation,60,short_excursion_dominance_R,26,0.0,-0.04134394530207251,-0.2512452588767426,0.1975633197648132,0.44880857864155577,-0.04134394530207251,0.09211932941926262,False,0,0,False,False,False,False
reference_validation,60,short_capture_fraction,26,0.5,0.4613095238095231,0.2638257575757612,0.6952363981943465,0.43141064061858525,-0.038690476190476886,0.089683639084562,False,0,0,False,False,False,False
reference_validation,120,short_close_return_R,26,0.0,0.22153909919867237,-0.07767845491321936,0.36574074074074303,0.4434191956539624,0.22153909919867237,0.4996154910974087,True,0,0,False,False,False,False
reference_validation,120,short_excursion_dominance_R,26,0.0,0.030552957680619136,-0.1744688705180662,0.39182098765431816,0.5662898581723843,0.030552957680619136,0.053952860429505534,True,0,0,False,False,False,False
reference_validation,120,short_capture_fraction,26,0.5,0.5068865019860419,0.364089487981135,0.7569908814589701,0.3929013934778351,0.006886501986041904,0.017527303543224505,True,0,0,False,False,False,False
