month,n,wr,mean_R,sum_R
2025-01,25,0.44,-0.0158200143030224,-0.39550035757556
2025-02,28,0.42857142857142855,-0.14285714285714285,-4.0
2025-03,30,0.5,0.10780484824842466,3.23414544745274
2025-04,25,0.52,0.17222940700952763,4.3057351752381905
2025-05,28,0.5357142857142857,0.17158598564401287,4.80440759803236
2025-06,18,0.3888888888888889,0.030075727197843332,0.54136308956118
2025-07,24,0.375,-0.08318008907611125,-1.99632213782667
2025-08,28,0.5,0.12884196835553466,3.60757511395497
2025-09,25,0.44,-0.057898418556745594,-1.44746046391864
2025-10,30,0.5,0.0,0.0
2025-11,28,0.5,0.0,0.0
2025-12,26,0.5,0.1496606351003981,3.8911765126103504
2026-01,24,0.4583333333333333,0.06629456778315541,1.59106962679573
2026-02,27,0.4074074074074074,-0.13456225647643183,-3.6331809248636597
2026-03,27,0.4444444444444444,-0.0770754547091663,-2.08103727714749
2026-04,22,0.2727272727272727,-0.1871532150884632,-4.11737073194619
2026-05,25,0.44,-0.088599265098266,-2.21498162745665
2026-06,27,0.48148148148148145,0.08723628094913705,2.3553795856267
2026-07,24,0.16666666666666666,-0.380197518393035,-9.12474044143284
2026-08,14,0.42857142857142855,0.012394990929037144,0.17352987300652
