detector_id,structure,direction,family,phase,n,n_2022,n_2023,n_2024,n_2025,n_2026,per365,median_gap_min,eras_ge12,max_era_share,status
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,7317,1555,1606,1577,1532,1047,1572.9,255,5,0.2195,STRUCTURALLY_VIABLE
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,1980,401,449,446,411,273,425.6,885,5,0.2268,STRUCTURALLY_VIABLE
F2LE,IMPULSE_PULLBACK_LONG_EARLY,LONG,F2,EARLY,7512,1626,1592,1626,1617,1051,1614.8,210,5,0.2165,STRUCTURALLY_VIABLE
F2LM,IMPULSE_HL_LONG_MATURE,LONG,F2,MATURE,2021,436,417,446,445,277,434.4,885,5,0.2207,STRUCTURALLY_VIABLE
F3LE,COMPRESSION_BREAK_LONG_EARLY,LONG,F3,EARLY,1266,245,255,289,292,185,272.1,1395,5,0.2306,STRUCTURALLY_VIABLE
F3LM,COMPRESSION_RETEST_LONG_MATURE,LONG,F3,MATURE,639,138,125,150,144,82,137.4,2850,5,0.2347,STRUCTURALLY_VIABLE
F4LE,FAILED_BREAK_LONG_EARLY,LONG,F4,EARLY,3724,809,832,783,784,516,800.5,495,5,0.2234,STRUCTURALLY_VIABLE
F4LM,FAILED_BREAK_LONG_MATURE,LONG,F4,MATURE,2702,560,584,599,590,369,580.8,690,5,0.2217,STRUCTURALLY_VIABLE
F1SE,LIQUIDITY_SWEEP_SHORT_EARLY,SHORT,F1,EARLY,7545,1609,1633,1641,1594,1068,1621.9,255,5,0.2175,STRUCTURALLY_VIABLE
F1SM,LIQUIDITY_SWEEP_SHORT_MATURE,SHORT,F1,MATURE,1863,387,431,413,379,253,400.5,915,5,0.2313,STRUCTURALLY_VIABLE
F2SE,IMPULSE_PULLBACK_SHORT_EARLY,SHORT,F2,EARLY,7116,1568,1559,1512,1482,995,1529.6,225,5,0.2203,STRUCTURALLY_VIABLE
F2SM,IMPULSE_LH_SHORT_MATURE,SHORT,F2,MATURE,1789,382,376,361,393,277,384.6,990,5,0.2197,STRUCTURALLY_VIABLE
F3SE,COMPRESSION_BREAK_SHORT_EARLY,SHORT,F3,EARLY,1114,233,237,233,215,196,239.5,1560,5,0.2127,STRUCTURALLY_VIABLE
F3SM,COMPRESSION_RETEST_SHORT_MATURE,SHORT,F3,MATURE,548,120,103,117,113,95,117.8,2985,5,0.2190,STRUCTURALLY_VIABLE
F4SE,FAILED_BREAK_SHORT_EARLY,SHORT,F4,EARLY,3800,790,812,859,805,534,816.8,480,5,0.2261,STRUCTURALLY_VIABLE
F4SM,FAILED_BREAK_SHORT_MATURE,SHORT,F4,MATURE,2637,521,583,580,561,392,566.8,675,5,0.2211,STRUCTURALLY_VIABLE
