year,scope,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,signal_precision_loss,median_signal_r_all,median_signal_r_loss,median_signal_r_win,median_minutes_signal_to_sl,median_minutes_signal_to_tp1,cf_wins,cf_losses,cf_be,cf_wr_ex_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r
2022,ALL,TOUCH_BREAK_LEVEL,151,116,35,108,0.7152317880794702,35,1.0,73,0.6293103448275862,0.32407407407407407,-0.0954298305860814,-0.11814345991561206,-0.0769230769230861,100.0,100.0,43,108,0,0.2847682119205298,-0.018844741015141466,-2.8455558932863614,0.7777569999671718,5.918623807511889
2022,ALL,CLOSE5_BELOW_BREAK_LEVEL,151,116,35,95,0.6291390728476821,35,1.0,60,0.5172413793103449,0.3684210526315789,-0.19999999999999601,-0.2557726465364119,-0.16631724388110078,90.0,92.5,56,95,0,0.3708609271523179,-0.019050090509581626,-2.8765636669468253,0.8582866091948649,8.530953745066512
2022,ALL,CLOSE5_BELOW_HOLD_CLOSE,151,116,35,67,0.44370860927152317,32,0.9142857142857143,35,0.3017241379310345,0.47761194029850745,-0.32527472527472845,-0.4854116222760374,-0.2659574468085113,42.5,125.0,81,70,0,0.5364238410596026,0.008376916191142513,1.2649143448625195,1.0454748015349233,8.653285389848934
2022,ALL,CLOSE5_BELOW_RECLAIM_CLOSE,151,116,35,47,0.31125827814569534,30,0.8571428571428571,17,0.14655172413793102,0.6382978723404256,-0.4577288644322176,-0.5237035144702752,-0.36776859504131426,42.5,230.0,99,52,0,0.6556291390728477,0.10966462220977478,16.559357953675992,1.6224324156766632,6.207039637201791
2022,ALL,CLOSE5_BELOW_DEMAND_HIGH,151,116,35,26,0.17218543046357615,18,0.5142857142857142,8,0.06896551724137931,0.6923076923076923,-0.5780284731271945,-0.5898580651480163,-0.47964769647696204,27.5,230.0,108,43,0,0.7152317880794702,0.11812505190976974,17.83688283837523,1.5553308721252495,6.631462913686972
2022,ALL,CLOSE15_BELOW_DEMAND_HIGH,151,116,35,18,0.11920529801324503,13,0.37142857142857144,5,0.04310344827586207,0.7222222222222222,-0.5488679245283037,-0.5600000000000023,-0.4837398373983715,35.0,230.0,111,40,0,0.7350993377483444,0.13399444974849925,20.233161912023387,1.6388402276297747,7.173508100329801
2022,Q4_WIDE,TOUCH_BREAK_LEVEL,45,34,11,27,0.6,11,1.0,16,0.47058823529411764,0.4074074074074074,-0.06725888324872754,-0.12553191489361806,-0.061253922769958544,285.0,145.0,18,27,0,0.4,0.04528179174759887,2.037680628641949,1.6355421477166783,1.158197919955461
2022,Q4_WIDE,CLOSE5_BELOW_BREAK_LEVEL,45,34,11,25,0.5555555555555556,11,1.0,14,0.4117647058823529,0.44,-0.1326412918108391,-0.24279210925645145,-0.10202164699692015,285.0,145.0,20,25,0,0.4444444444444444,0.0422157517674408,1.899708829534836,1.4435778902115228,1.6294420877601665
2022,Q4_WIDE,CLOSE5_BELOW_HOLD_CLOSE,45,34,11,20,0.4444444444444444,11,1.0,9,0.2647058823529412,0.55,-0.2466875047178296,-0.3298429319371784,-0.170703575547868,185.0,150.0,25,20,0,0.5555555555555556,0.03830584458352258,1.723763006258516,1.2844913566592815,2.8083517245937677
2022,Q4_WIDE,CLOSE5_BELOW_RECLAIM_CLOSE,45,34,11,15,0.3333333333333333,10,0.9090909090909091,5,0.14705882352941177,0.6666666666666666,-0.47127784290738506,-0.48370002215808144,-0.47127784290738506,315.0,125.0,29,16,0,0.6444444444444445,0.022207226355486772,0.9993251859969048,1.1346636929627787,3.374473162419942
