year,signals,filled_n,fill_rate,median_fill_wait,n180,median180,hit180,median_mfe,median_mae,favdom,missed_baseline_wins,baseline_wins,missed_win_fraction
2022,60,60,1.0,0.0,53,0.08723599531296657,0.6037735849056604,0.2238110121675435,0.24109788768499044,0.49056603773584906,0,0,0.0
2023,71,71,1.0,0.0,66,0.10734117794744358,0.6363636363636364,0.2854882121129355,0.282477332073404,0.5151515151515151,0,0,0.0
2024,72,72,1.0,0.0,66,0.1301183793430495,0.6363636363636364,0.264338576609783,0.19673986277207683,0.5757575757575758,0,0,0.0
2025,73,73,1.0,0.0,67,0.07029856152749639,0.582089552238806,0.28384343669457535,0.21850472319467446,0.6119402985074627,0,0,0.0
2026,29,29,1.0,0.0,28,0.01430149281690083,0.5,0.2928977726221093,0.23920654556877669,0.5714285714285714,0,0,0.0
