period,side,character,direction,tf,candidate,signals,filled_n,fill_rate,median_fill_wait,n180,median180,hit180,median_mfe,median_mae,favdom,missed_baseline_wins,baseline_wins,missed_win_fraction
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E0_MARKET,120,120,1.0,0.0,109,0.10502429161820477,0.6146788990825688,0.2713281356158163,0.26296539142742337,0.5504587155963303,0,0,0.0
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E1_R25,120,111,0.925,5.0,101,0.13336917024730577,0.6138613861386139,0.2818518223880472,0.2141600420722429,0.5544554455445545,6,67,0.08955223880597014
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E2_R50,120,107,0.8916666666666667,5.0,97,0.14556039497476797,0.6185567010309279,0.293151829152882,0.21108607866945128,0.5670103092783505,8,67,0.11940298507462686
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E3_WALL,120,87,0.725,5.0,81,0.10524090929473276,0.6172839506172839,0.29943090492276386,0.2765046570900918,0.5185185185185185,21,67,0.31343283582089554
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E0_MARKET,83,83,1.0,0.0,76,0.1215300823794129,0.6447368421052632,0.2543254709735386,0.22355751132888738,0.5,0,0,0.0
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E1_R25,83,62,0.7469879518072289,5.0,57,0.10461148044453403,0.631578947368421,0.24900350692595674,0.20094900866363072,0.543859649122807,16,49,0.32653061224489793
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E2_R50,83,47,0.5662650602409639,10.0,45,0.10432657338549622,0.6222222222222222,0.2429000308607561,0.19016044204138194,0.4888888888888889,25,49,0.5102040816326531
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E3_WALL,83,26,0.3132530120481928,5.0,24,0.0825789548631556,0.6666666666666666,0.2817524480987551,0.2915185779516538,0.5416666666666666,38,49,0.7755102040816326
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E0_MARKET,58,58,1.0,0.0,53,0.0745618443808222,0.5471698113207547,0.2753450472141435,0.19604680708936684,0.6226415094339622,0,0,0.0
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E1_R25,58,52,0.896551724137931,5.0,47,0.000626379512207251,0.5106382978723404,0.2848631929392929,0.22143804720161847,0.574468085106383,6,29,0.20689655172413793
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E2_R50,58,49,0.8448275862068966,5.0,44,4.9652720376437394e-05,0.5,0.28426951370655573,0.27103250886604696,0.5681818181818182,9,29,0.3103448275862069
