side,character,direction,tf,dev_nomination,ref_limit_validated,final_entry,dev_fill,dev_n180,dev_med180,dev_hit180,dev_mae,dev_missed_win,ref_fill,ref_n180,ref_med180,ref_hit180,ref_mae,ref_missed_win
UPPER,C1_CLEAN_REJECTION,SHORT,TF05,E1_R25,False,E0_MARKET,0.925,101,0.13336917024730577,0.6138613861386139,0.2141600420722429,0.08955223880597014,0.896551724137931,47,0.000626379512207251,0.5106382978723404,0.22143804720161847,0.20689655172413793
LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,E0_MARKET,,E0_MARKET,1.0,76,0.1215300823794129,0.6447368421052632,0.22355751132888738,0.0,1.0,42,0.028980597245939772,0.5714285714285714,0.26239256497051117,0.0
