period,signals,filled_n,fill_rate,median_fill_wait,n180,median180,hit180,median_mfe,median_mae,favdom,missed_baseline_wins,baseline_wins,missed_win_fraction
DEV,203,203,1.0,0.0,185,0.11877286344383459,0.6270270270270271,0.2627286305023519,0.2264985670017713,0.5297297297297298,0,0,0.0
REF,102,102,1.0,0.0,95,0.05187526012894462,0.5578947368421052,0.29259838137233285,0.22384120090621687,0.6,0,0,0.0
ALL,305,305,1.0,0.0,280,0.09079569374796437,0.6035714285714285,0.2707866709803074,0.22516988395399407,0.5535714285714286,0,0,0.0
