period,candidate,signals,available,filled,fill_rate,resolved,wins,losses,wr_resolved,median_win_r,mean_win_r,expectancy_per_filled,expectancy_per_signal,total_r,profit_factor,max_drawdown_r,max_loss_streak,median_entry_improvement_event_r,median_risk_compression,median_target_rr,median_fill_delay_min,ge1_available,ge1_filled,ge1_resolve_win,ge1_missed_nofill,ge1_became_loss,survive_available,survive_filled,survive_missed_nofill,consumed_available,consumed_avoided_nofill,consumed_avoid_rate,local_only_available,local_only_avoided_nofill,local_only_avoid_rate,ambiguous_fill_bar,ambiguous_after_entry,unresolved_after_entry
DEV,MARKET_SD1_CLOSE,286,286,286,1.0,264,149,115,0.5643939393939394,0.7609907120743092,0.7372404204344476,-0.018011109633801783,-0.018011109633801783,-5.1511773552673095,0.9552071534324582,16.601166579918118,5,0.0,0.0,0.7840487546369788,0.0,163,163,149,0,14,235,235,0,51,0,0.0,72,0,0.0,0,0,22
DEV,LIMIT_HALF_RETRACE,286,279,264,0.946236559139785,243,130,113,0.5349794238683128,0.8740554156171275,0.8580688808962244,-0.0054963844071622085,-0.005073585606611269,-1.451045483490823,0.9871588895266298,13.617797696747427,5,0.06250000000000247,0.05555555555555747,0.8823529411764662,5.0,158,143,130,15,13,229,214,15,50,0,0.0,71,0,0.0,0,0,21
DEV,LIMIT_TOUCH_ANCHOR,286,279,242,0.8673835125448028,221,108,113,0.48868778280542985,1.0,1.0,-0.02066115702479339,-0.017482517482517484,-5.0,0.9557522123893806,16.0,5,0.12500000000000494,0.11111111111111505,1.0,10.0,158,121,108,37,13,229,192,37,50,0,0.0,71,0,0.0,0,0,21
DEV,LIMIT_ZONE_HIGH,286,242,190,0.7851239669421488,173,75,98,0.43352601156069365,1.0964912280701704,1.1880379962673577,-0.04682710673656932,-0.03110891706275583,-8.897150279948168,0.9092127522454267,16.419697915595716,5,0.24833333333333485,0.2075773074199408,1.1663080530909116,25.0,136,85,75,51,10,201,149,52,41,0,0.0,65,1,0.015384615384615385,0,0,17
DEV,LIMIT_REACTION_LOW,286,285,218,0.7649122807017544,196,83,113,0.42346938775510207,1.1798941798941815,1.3830963118047712,0.008243091191724922,0.006283195383902223,1.7969938797960356,1.0159026007061596,15.456679069933081,5,0.23549488054607376,0.2116564417177913,1.2068965517241148,30.0,162,96,83,66,13,234,167,66,51,0,0.0,72,0,0.0,1,0,22
REF,MARKET_SD1_CLOSE,160,160,160,1.0,146,87,59,0.5958904109589042,0.7836593785960763,0.762451101289452,0.045832786326139484,0.045832786326139484,7.333245812182318,1.1242923019013953,7.349134688308306,4,0.0,0.0,0.7842782018838508,0.0,99,99,87,0,12,137,137,0,23,0,0.0,38,0,0.0,0,0,14
REF,LIMIT_HALF_RETRACE,160,158,138,0.8734177215189873,124,66,58,0.532258064516129,0.8961186768315192,0.8821621735606082,0.0016137931521750008,0.0013918965937509437,0.22270345500015098,1.0038397147413818,7.785873352593985,4,0.061319885227360114,0.05462051532535939,0.8844467499104505,5.0,97,77,66,20,11,135,115,20,23,0,0.0,38,0,0.0,0,0,14
REF,LIMIT_TOUCH_ANCHOR,160,158,132,0.8354430379746836,118,60,58,0.5084745762711864,1.0,1.0000000000000002,0.015151515151515213,0.01250000000000005,2.000000000000008,1.0344827586206897,8.0,4,0.12263977045473555,0.10924103065073243,1.0,10.0,97,71,60,26,11,135,109,26,23,0,0.0,38,0,0.0,0,0,14
REF,LIMIT_ZONE_HIGH,160,141,109,0.7730496453900709,97,48,49,0.4948453608247423,1.048672048672051,1.164691323986059,0.06335030781037461,0.0431573971958177,6.905183551330833,1.140922113292466,7.492349915457692,3,0.199460916442049,0.18181818181819354,1.155136268343818,35.0,86,55,48,31,7,122,90,32,19,0,0.0,36,1,0.027777777777777776,0,0,12
REF,LIMIT_REACTION_LOW,160,160,117,0.73125,103,45,58,0.4368932038834951,1.1408839779005497,1.1930439648098043,-0.036863432338109355,-0.026956384897242464,-4.313021583558794,0.9256375589041587,10.208366746673091,4,0.22047381764141033,0.19446635072030372,1.1681479242533945,35.0,99,56,45,42,11,137,94,42,23,0,0.0,38,0,0.0,1,0,14
